1.4453e-01,1.3281e-01,1.3672e-01,7.7809e-02,1.3476e-01,1.6992e-01,1.5625e-01,4.7193e-02
1.2891e-01,1.1914e-01,1.1523e-01,8.9844e-02,2.3251e-01,1.5039e-01,1.3867e-01,2.5307e-02
9.9609e-02,9.5704e-02,5.2734e-02,7.5728e-02,3.0859e-01,1.6016e-01,1.3867e-01,6.8803e-02
8.0078e-02,1.5039e-01,7.0312e-02,5.6635e-02,2.8902e-01,1.2109e-01,1.5625e-01,7.6224e-02
1.1393e-01,1.2710e-01,1.3667e-01,5.9766e-02,2.6157e-01,1.3757e-01,9.8161e-02,6.5233e-02
1.3672e-01,1.1328e-01,9.5703e-02,4.9971e-02,2.7930e-01,1.3086e-01,1.0938e-01,8.4795e-02
1.3867e-01,1.3672e-01,1.2305e-01,6.3495e-02,2.7148e-01,1.4258e-01,7.2266e-02,5.1739e-02
1.2305e-01,1.4648e-01,1.2919e-01,8.7522e-02,2.5195e-01,1.3086e-01,6.2215e-02,6.8728e-02
1.3867e-01,1.1331e-01,1.8555e-01,6.0645e-02,2.2654e-01,1.5820e-01,4.4922e-02,7.2167e-02
1.2500e-01,1.1523e-01,1.2109e-01,8.0304e-02,2.9102e-01,1.1719e-01,6.0547e-02,8.9618e-02
1.3867e-01,1.0352e-01,1.4062e-01,1.0695e-01,2.9297e-01,1.2109e-01,5.6641e-02,3.9531e-02
1.4453e-01,1.2695e-01,5.0781e-02,9.0206e-02,2.6953e-01,1.1719e-01,1.5430e-01,4.6513e-02
1.3867e-01,1.2500e-01,9.7656e-02,9.1194e-02,2.5781e-01,1.3867e-01,1.0742e-01,4.3572e-02
1.4453e-01,1.3086e-01,1.0937e-01,8.5263e-02,2.7148e-01,1.3867e-01,8.0078e-02,3.9737e-02
1.4062e-01,1.1523e-01,9.1797e-02,9.6289e-02,2.6953e-01,1.4258e-01,1.1523e-01,2.8711e-02
1.3477e-01,1.7188e-01,1.4453e-01,6.4827e-02,2.5000e-01,8.0078e-02,1.1523e-01,3.8689e-02
1.1719e-01,1.1914e-01,1.2500e-01,8.9279e-02,2.7539e-01,1.1914e-01,1.1523e-01,3.9627e-02
1.4258e-01,1.5430e-01,1.0156e-01,7.6978e-02,2.8125e-01,1.2695e-01,9.1797e-02,2.4584e-02
1.1914e-01,1.1133e-01,1.0960e-01,5.3812e-02,2.5391e-01,1.5820e-01,1.4040e-01,5.3610e-02
1.5430e-01,1.4844e-01,1.0938e-01,9.2776e-02,2.4414e-01,1.1914e-01,1.2500e-01,6.8331e-03
9.7656e-02,1.1719e-01,1.0156e-01,8.4496e-02,2.7930e-01,1.3477e-01,1.4844e-01,3.6598e-02
1.1133e-01,1.2109e-01,1.2305e-01,9.9683e-02,2.3633e-01,1.5625e-01,1.1328e-01,3.8989e-02
1.0938e-01,1.2109e-01,1.3477e-01,9.7037e-02,2.4219e-01,1.3672e-01,1.3867e-01,2.0150e-02
1.5039e-01,1.3867e-01,9.5703e-02,7.1614e-02,2.6758e-01,1.3281e-01,1.0547e-01,3.7761e-02
1.2891e-01,1.2305e-01,1.3086e-01,7.5463e-02,2.5195e-01,1.1719e-01,1.1523e-01,5.7349e-02
1.3086e-01,1.2305e-01,1.2305e-01,6.9053e-02,2.5391e-01,1.3086e-01,1.2305e-01,4.6181e-02
