# GLoss,DLoss
1.3287e+00,1.1394e+00
2.5109e-02,5.2550e+00
1.1596e-01,3.9122e+00
1.6137e-01,4.0297e+00
2.2336e-01,3.2918e+00
2.1548e-01,3.9526e+00
2.1548e-01,3.0544e+00
5.9214e-01,3.5396e+00
7.2323e-01,2.4521e+00
4.4566e-01,3.6088e+00
8.0069e-01,2.2488e+00
1.0531e+00,2.1169e+00
7.5262e-01,1.8303e+00
7.4351e-01,2.4608e+00
1.0635e+00,1.7424e+00
8.9134e-01,2.4010e+00
8.4027e-01,2.3725e+00
1.0755e+00,2.0521e+00
1.0810e+00,1.8169e+00
1.0708e+00,1.6244e+00
1.1255e+00,2.0222e+00
1.0318e+00,1.9973e+00
9.8716e-01,1.7057e+00
1.1101e+00,1.8862e+00
1.0841e+00,1.6096e+00
1.1535e+00,1.4823e+00
1.0160e+00,1.7842e+00
8.3829e-01,1.9824e+00
1.0853e+00,1.4920e+00
1.2868e+00,1.7147e+00
1.1140e+00,1.5715e+00
9.6928e-01,1.3854e+00
1.0678e+00,1.4843e+00
9.9088e-01,1.2632e+00
1.1324e+00,1.3105e+00
1.0847e+00,1.5002e+00
1.3162e+00,1.5446e+00
9.5345e-01,1.7495e+00
1.0030e+00,1.2866e+00
1.2821e+00,1.6283e+00
1.0524e+00,1.5672e+00
9.0529e-01,1.6298e+00
8.4292e-01,1.3799e+00
1.1212e+00,1.3499e+00
1.1059e+00,1.6462e+00
1.0399e+00,1.3721e+00
1.0663e+00,1.2933e+00
1.0917e+00,1.3187e+00
1.1480e+00,1.6137e+00
1.2061e+00,1.2006e+00
1.1692e+00,1.5543e+00
9.6751e-01,1.5442e+00
1.0363e+00,1.2666e+00
9.9884e-01,1.3169e+00
1.2406e+00,1.2475e+00
1.0609e+00,1.3629e+00
1.1582e+00,1.1654e+00
1.2322e+00,1.3502e+00
9.1582e-01,1.4054e+00
1.2084e+00,1.4155e+00
1.1788e+00,1.1527e+00
1.1032e+00,1.2656e+00
1.0812e+00,1.4419e+00
1.0892e+00,1.3370e+00
1.0186e+00,1.3623e+00
1.0497e+00,1.1556e+00
1.1360e+00,1.1993e+00
1.2047e+00,1.3517e+00
1.1448e+00,1.2098e+00
1.1763e+00,1.0208e+00
1.0647e+00,1.3155e+00
1.4300e+00,1.0266e+00
1.1503e+00,1.1844e+00
1.1217e+00,1.1540e+00
1.2070e+00,1.1897e+00
1.0954e+00,1.1584e+00
1.2363e+00,1.0334e+00
1.1348e+00,1.1661e+00
1.0952e+00,1.2345e+00
1.1133e+00,1.1133e+00
1.2928e+00,9.3293e-01
1.2885e+00,8.9743e-01
1.1811e+00,1.1297e+00
1.2880e+00,1.0750e+00
1.1543e+00,9.3094e-01
1.1878e+00,1.0191e+00
1.1819e+00,1.0361e+00
1.0999e+00,1.2058e+00
1.0960e+00,1.1198e+00
1.0693e+00,1.1141e+00
1.1893e+00,1.1195e+00
1.1385e+00,9.3139e-01
1.1359e+00,1.0341e+00
1.1096e+00,9.9577e-01
1.3334e+00,9.1095e-01
1.2840e+00,9.7776e-01
1.4314e+00,9.8159e-01
1.2271e+00,1.0836e+00
1.2138e+00,1.0704e+00
1.1871e+00,9.5908e-01
1.3648e+00,8.8581e-01
1.2385e+00,8.6025e-01
1.2760e+00,9.6793e-01
1.2020e+00,1.0945e+00
1.1748e+00,1.0743e+00
1.2047e+00,1.0481e+00
1.2886e+00,9.3544e-01
1.3101e+00,1.0141e+00
1.2031e+00,9.8659e-01
1.1923e+00,1.0268e+00
1.2359e+00,9.4526e-01
1.2135e+00,1.0479e+00
1.2055e+00,9.9369e-01
1.2334e+00,9.9918e-01
1.1535e+00,1.1462e+00
1.2276e+00,1.0321e+00
1.2861e+00,8.9795e-01
1.1818e+00,1.0044e+00
1.1418e+00,1.0291e+00
1.1834e+00,1.0544e+00
1.1255e+00,1.0004e+00
1.2076e+00,1.0984e+00
1.0972e+00,1.0257e+00
1.1032e+00,1.0100e+00
1.2053e+00,1.0654e+00
1.2139e+00,1.0342e+00
1.2078e+00,1.0315e+00
1.1146e+00,1.0427e+00
1.1246e+00,1.1950e+00
1.2899e+00,9.3439e-01
1.1411e+00,1.0345e+00
1.2862e+00,1.0876e+00
1.2174e+00,1.0819e+00
1.2546e+00,1.0268e+00
1.2348e+00,9.9708e-01
1.1859e+00,9.6927e-01
1.0867e+00,1.0035e+00
1.1792e+00,9.9419e-01
1.1678e+00,1.0541e+00
1.2791e+00,1.1349e+00
1.1944e+00,9.6835e-01
1.2553e+00,1.1007e+00
1.3389e+00,9.8961e-01
1.2172e+00,1.0594e+00
1.2225e+00,1.0449e+00
1.1268e+00,1.0731e+00
1.2458e+00,9.0952e-01
1.1117e+00,9.5135e-01
1.1508e+00,1.1648e+00
1.0949e+00,1.0111e+00
