# GLoss,DLoss,KLDivergence,RevKLDivergence
3.5899e-01,2.4554e+00,4.7141e-01,6.5119e-01
4.8029e-01,2.5930e+00,3.9662e-01,4.8660e-01
5.3045e-01,2.3042e+00,3.9637e-01,6.1153e-01
3.7872e-01,2.6520e+00,4.6209e-01,6.1527e-01
4.8396e-01,2.4833e+00,4.8494e-01,6.7165e-01
5.4768e-01,2.8113e+00,4.2567e-01,5.5797e-01
4.6319e-01,2.5257e+00,4.6197e-01,6.3042e-01
4.1361e-01,2.5775e+00,4.5449e-01,5.5242e-01
4.5186e-01,2.4836e+00,5.6292e-01,9.3574e-01
4.2014e-01,2.6796e+00,3.5199e-01,4.4155e-01
5.4903e-01,2.6465e+00,3.9463e-01,4.8654e-01
4.4028e-01,2.5399e+00,4.5023e-01,5.4770e-01
5.4973e-01,2.6399e+00,3.6071e-01,4.5505e-01
4.5562e-01,2.6677e+00,3.5486e-01,4.0956e-01
4.8331e-01,2.3739e+00,3.2915e-01,3.8068e-01
5.7673e-01,2.4053e+00,4.3414e-01,5.7061e-01
6.4436e-01,2.3712e+00,4.3013e-01,5.5339e-01
6.1904e-01,2.6884e+00,3.9805e-01,5.4145e-01
5.0311e-01,2.6313e+00,3.5073e-01,4.1668e-01
5.8112e-01,2.5689e+00,3.9699e-01,5.3603e-01
4.8207e-01,2.5071e+00,4.3747e-01,5.1028e-01
5.6423e-01,2.6730e+00,3.8393e-01,4.5084e-01
5.4751e-01,2.2970e+00,4.2881e-01,5.8193e-01
5.5317e-01,2.3006e+00,5.5687e-01,9.5114e-01
6.4204e-01,2.2737e+00,4.4089e-01,5.1181e-01
5.6246e-01,2.3616e+00,2.9959e-01,3.6586e-01
5.2907e-01,2.5778e+00,4.3027e-01,5.3753e-01
5.4472e-01,2.6858e+00,3.8004e-01,4.6774e-01
4.4651e-01,2.7359e+00,3.8153e-01,4.8522e-01
5.0311e-01,2.4405e+00,4.9611e-01,7.0433e-01
4.7828e-01,2.6397e+00,4.8209e-01,5.6602e-01
7.4141e-01,2.0552e+00,2.9851e-01,3.8196e-01
4.5276e-01,2.2555e+00,4.5326e-01,6.2632e-01
4.8074e-01,2.1157e+00,3.5004e-01,4.5308e-01
6.2019e-01,2.5710e+00,4.2241e-01,4.6469e-01
5.8545e-01,2.4523e+00,4.5140e-01,5.6470e-01
5.7356e-01,2.6196e+00,4.9758e-01,9.1945e-01
5.5572e-01,2.2912e+00,3.2810e-01,4.8475e-01
4.8690e-01,2.5843e+00,3.7345e-01,4.7111e-01
5.9889e-01,2.2814e+00,3.5655e-01,4.4182e-01
4.5742e-01,2.5528e+00,4.3984e-01,6.6265e-01
6.5896e-01,2.7786e+00,3.3905e-01,4.9192e-01
5.8601e-01,2.9182e+00,3.0557e-01,4.2622e-01
5.3782e-01,2.7248e+00,3.9388e-01,4.9618e-01
5.0555e-01,2.7866e+00,4.5800e-01,6.1332e-01
4.8185e-01,2.7292e+00,4.1627e-01,5.3247e-01
5.8119e-01,2.4757e+00,3.4762e-01,4.3053e-01
5.8654e-01,2.3948e+00,3.8009e-01,4.9946e-01
4.9221e-01,2.4181e+00,3.6669e-01,4.8683e-01
5.0731e-01,2.5833e+00,3.5434e-01,4.4978e-01
4.5199e-01,3.0536e+00,4.0764e-01,5.0075e-01
5.2779e-01,2.3116e+00,3.3350e-01,4.7484e-01
5.6664e-01,2.8459e+00,3.8738e-01,5.1331e-01
5.8150e-01,2.4332e+00,3.7563e-01,5.0495e-01
6.3271e-01,2.7165e+00,3.6817e-01,4.6409e-01
5.8682e-01,2.6002e+00,4.1758e-01,5.6096e-01
5.2573e-01,2.5642e+00,3.6790e-01,5.8993e-01
5.7916e-01,2.8529e+00,3.5557e-01,4.8933e-01
4.4746e-01,2.6083e+00,3.9943e-01,5.3552e-01
4.6957e-01,2.7827e+00,4.4217e-01,5.7729e-01
4.4515e-01,2.0634e+00,4.5535e-01,7.4424e-01
5.4790e-01,2.3774e+00,4.2322e-01,5.2598e-01
6.2237e-01,2.7292e+00,3.2193e-01,4.5926e-01
5.0817e-01,2.5414e+00,3.9054e-01,4.7394e-01
5.5017e-01,2.6661e+00,3.6944e-01,4.4275e-01
5.3802e-01,2.7880e+00,3.0064e-01,3.5999e-01
4.1401e-01,2.8031e+00,3.2693e-01,4.2154e-01
4.7563e-01,2.4428e+00,3.5531e-01,4.3362e-01
6.9601e-01,2.5457e+00,4.4059e-01,5.7795e-01
5.3430e-01,2.1592e+00,3.4209e-01,5.1140e-01
6.1906e-01,2.7307e+00,2.8513e-01,3.8667e-01
3.8397e-01,2.4691e+00,2.9624e-01,4.6618e-01
6.0864e-01,2.4754e+00,4.0620e-01,5.5400e-01
4.6431e-01,2.6388e+00,3.5186e-01,3.9862e-01
6.0385e-01,2.6645e+00,4.2442e-01,5.2541e-01
5.3746e-01,2.4233e+00,4.2515e-01,5.9706e-01
4.7769e-01,2.6167e+00,4.5349e-01,6.2688e-01
6.0747e-01,2.6484e+00,2.8095e-01,3.6463e-01
5.4179e-01,2.5539e+00,3.5435e-01,4.6371e-01
5.0139e-01,2.6231e+00,3.7941e-01,6.1542e-01
4.9412e-01,2.6490e+00,3.9833e-01,5.1070e-01
6.0505e-01,2.4657e+00,4.0994e-01,5.6302e-01
6.0504e-01,2.4196e+00,2.8535e-01,3.2337e-01
5.2901e-01,2.4899e+00,4.3253e-01,5.3225e-01
5.4900e-01,2.7573e+00,3.9114e-01,5.5268e-01
6.0327e-01,2.3664e+00,3.9261e-01,5.4606e-01
5.4103e-01,2.5060e+00,3.2003e-01,3.8046e-01
5.1549e-01,2.6180e+00,3.5786e-01,4.5482e-01
5.0602e-01,2.4952e+00,3.5685e-01,4.8105e-01
5.7119e-01,2.7930e+00,3.3215e-01,3.6948e-01
5.6941e-01,2.6233e+00,3.7230e-01,4.5918e-01
4.8684e-01,2.5891e+00,2.7713e-01,3.4771e-01
4.9241e-01,2.9081e+00,3.2872e-01,4.5805e-01
6.0095e-01,2.5508e+00,3.0849e-01,4.1127e-01
4.7988e-01,2.3733e+00,3.3836e-01,3.7451e-01
4.9312e-01,2.5800e+00,4.2783e-01,6.0827e-01
5.2711e-01,2.5414e+00,3.8522e-01,5.3652e-01
6.0238e-01,2.6119e+00,3.7236e-01,4.8836e-01
4.9677e-01,3.0567e+00,3.8567e-01,5.0771e-01
3.8167e-01,2.7656e+00,2.5972e-01,3.3947e-01
5.6270e-01,2.7689e+00,3.7639e-01,4.9689e-01
5.2118e-01,2.5879e+00,3.3981e-01,4.1449e-01
4.8552e-01,2.6060e+00,4.1845e-01,5.5758e-01
3.3247e-01,2.6794e+00,2.7153e-01,3.0501e-01
5.9736e-01,2.6259e+00,3.3748e-01,4.2682e-01
