# GLoss,DLoss,RevKLDivergence,ModesCovered
1.3653e+00,1.3766e+00,8.0422e+00,1.0000e+01
5.1599e-03,6.5001e+00,3.7727e+00,1.0000e+01
2.8613e-02,6.1640e+00,2.4342e+00,1.0000e+01
2.4280e-02,6.8100e+00,3.1915e+00,1.0000e+01
8.0911e-02,7.1856e+00,2.8856e+00,1.0000e+01
6.0942e-02,1.0357e+01,4.3027e+00,1.0000e+01
9.6487e-02,6.7694e+00,2.8665e+00,1.0000e+01
2.3466e-01,5.7726e+00,3.9346e+00,1.0000e+01
1.3026e-01,1.2265e+01,2.8346e+00,1.0000e+01
1.7473e-01,7.8646e+00,3.1633e+00,1.0000e+01
7.5226e-01,8.7380e+00,3.2726e+00,1.0000e+01
6.5772e-01,1.2801e+01,3.4986e+00,1.0000e+01
4.2128e-01,1.7455e+01,3.0750e+00,1.0000e+01
1.0209e+00,1.3530e+01,2.8183e+00,1.0000e+01
6.7818e-01,1.0845e+01,2.8392e+00,1.0000e+01
8.7652e-01,1.4801e+01,2.6852e+00,1.0000e+01
9.3758e-01,1.2562e+01,2.3895e+00,1.0000e+01
1.7466e+00,1.5025e+01,2.6761e+00,1.0000e+01
1.3479e+00,1.2886e+01,3.2985e+00,1.0000e+01
1.0656e+00,1.7554e+01,3.8318e+00,1.0000e+01
1.0186e+00,1.4382e+01,2.9672e+00,1.0000e+01
9.3436e-01,9.4768e+00,2.5920e+00,1.0000e+01
9.0654e-01,1.3370e+01,2.0135e+00,1.0000e+01
2.6517e+00,1.7076e+01,1.5080e+00,1.0000e+01
8.8364e-01,1.7023e+01,1.7068e+00,1.0000e+01
1.5747e+00,1.6704e+01,1.7180e+00,1.0000e+01
2.5702e+00,1.6197e+01,2.1439e+00,1.0000e+01
2.0470e+00,2.4443e+01,2.7548e+00,1.0000e+01
1.8043e+00,1.6152e+01,2.1455e+00,1.0000e+01
2.3685e+00,2.5389e+01,2.4746e+00,1.0000e+01
3.1144e+00,1.3113e+01,2.5044e+00,1.0000e+01
2.3673e+00,1.3130e+01,2.6530e+00,1.0000e+01
