# GLoss,DLoss
1.3862e+00,9.4723e-01
2.6314e-01,2.4542e+00
3.7923e-01,1.9280e+00
3.9714e-01,2.0652e+00
3.2279e-01,2.1440e+00
4.4949e-01,1.7859e+00
4.9285e-01,2.1383e+00
6.9211e-01,1.9292e+00
5.1444e-01,2.1424e+00
5.5272e-01,1.8013e+00
5.1546e-01,2.3101e+00
5.9885e-01,1.9741e+00
7.1944e-01,2.1361e+00
6.1982e-01,2.0871e+00
6.0131e-01,2.5034e+00
7.3101e-01,1.9560e+00
7.7112e-01,2.3467e+00
7.1524e-01,2.1248e+00
5.0889e-01,2.3745e+00
6.1372e-01,2.2053e+00
6.1387e-01,2.2073e+00
7.6586e-01,1.7967e+00
7.4514e-01,2.0958e+00
5.6642e-01,2.3548e+00
6.9715e-01,1.9767e+00
7.3771e-01,2.0755e+00
8.6785e-01,1.9780e+00
8.5099e-01,1.9828e+00
6.8584e-01,2.1099e+00
1.2084e+00,2.1198e+00
8.0154e-01,1.9026e+00
9.2094e-01,1.8088e+00
9.9005e-01,2.0272e+00
8.9440e-01,2.1026e+00
8.1816e-01,2.0725e+00
1.0144e+00,1.9023e+00
9.2308e-01,2.0691e+00
1.0476e+00,1.8617e+00
9.2226e-01,1.8727e+00
8.2033e-01,2.0400e+00
9.0212e-01,1.8886e+00
1.0139e+00,1.7701e+00
8.0467e-01,2.1801e+00
8.7016e-01,1.9785e+00
9.1692e-01,1.5965e+00
8.9141e-01,1.8633e+00
8.2525e-01,1.7951e+00
1.0100e+00,1.7655e+00
9.6649e-01,1.8228e+00
7.2757e-01,2.0460e+00
8.1038e-01,1.9476e+00
9.8948e-01,1.8083e+00
6.6474e-01,1.7689e+00
8.4678e-01,1.8461e+00
8.8566e-01,1.9230e+00
8.9102e-01,1.8762e+00
8.5749e-01,1.9807e+00
1.1361e+00,1.5840e+00
1.0857e+00,1.6950e+00
9.7642e-01,1.8693e+00
1.0053e+00,1.5425e+00
8.8153e-01,1.6925e+00
9.3119e-01,1.5106e+00
1.0979e+00,1.9952e+00
1.0942e+00,1.5487e+00
1.0360e+00,1.8029e+00
1.0723e+00,1.7239e+00
1.0130e+00,1.8612e+00
8.9204e-01,1.9869e+00
9.2872e-01,1.6292e+00
1.0042e+00,1.9870e+00
1.1282e+00,1.6459e+00
1.2433e+00,1.6560e+00
1.2566e+00,1.7695e+00
1.0277e+00,1.8381e+00
1.0933e+00,1.6899e+00
9.3142e-01,1.7328e+00
1.1470e+00,1.8032e+00
9.6179e-01,1.8045e+00
1.0091e+00,1.7733e+00
1.1012e+00,1.6959e+00
1.1661e+00,1.6564e+00
9.7255e-01,1.5098e+00
1.1248e+00,1.7000e+00
9.4514e-01,1.8071e+00
8.1621e-01,1.8468e+00
8.4525e-01,1.5079e+00
1.0545e+00,1.7407e+00
1.1836e+00,1.8499e+00
9.6505e-01,1.8267e+00
1.1658e+00,1.6203e+00
1.0532e+00,1.9310e+00
8.8109e-01,2.0428e+00
9.3090e-01,1.8145e+00
8.6667e-01,2.0466e+00
1.0960e+00,1.4748e+00
7.6688e-01,1.9166e+00
1.0730e+00,1.4311e+00
9.2312e-01,1.4077e+00
9.9341e-01,1.7458e+00
1.0650e+00,1.4821e+00
8.5540e-01,1.4968e+00
9.1049e-01,1.7652e+00
9.2493e-01,1.6024e+00
7.9424e-01,2.2973e+00
1.0127e+00,1.7694e+00
8.5692e-01,1.6656e+00
9.3933e-01,1.3815e+00
8.5891e-01,1.5250e+00
9.5451e-01,1.5250e+00
8.1565e-01,1.6539e+00
1.0158e+00,1.5938e+00
9.0774e-01,1.5788e+00
7.3131e-01,1.5778e+00
7.7795e-01,1.6285e+00
7.8244e-01,1.6319e+00
8.0764e-01,1.5305e+00
8.1685e-01,1.6186e+00
6.3083e-01,1.6912e+00
8.3350e-01,1.4487e+00
6.0932e-01,1.6361e+00
8.3322e-01,1.5709e+00
9.1257e-01,1.6325e+00
7.0968e-01,1.6276e+00
6.9609e-01,1.5345e+00
9.4108e-01,1.4774e+00
8.5103e-01,1.4834e+00
8.5520e-01,1.6658e+00
9.1649e-01,1.3392e+00
9.6523e-01,1.4749e+00
9.6985e-01,1.4956e+00
7.7823e-01,1.4773e+00
9.4452e-01,1.1861e+00
9.3304e-01,1.4279e+00
1.0195e+00,1.3502e+00
1.0829e+00,1.3313e+00
9.9441e-01,1.4552e+00
8.6595e-01,1.6028e+00
9.2660e-01,1.5584e+00
9.1932e-01,1.5501e+00
8.4659e-01,1.5530e+00
1.1410e+00,1.6847e+00
9.6718e-01,1.2809e+00
8.4018e-01,1.5891e+00
9.6173e-01,1.5617e+00
7.7621e-01,1.7092e+00
8.8463e-01,1.6477e+00
1.0769e+00,1.2885e+00
1.0086e+00,1.2411e+00
7.7855e-01,1.6276e+00
8.9334e-01,1.4488e+00
1.0395e+00,1.4778e+00
8.2817e-01,1.5891e+00
8.5951e-01,1.5522e+00
8.8277e-01,1.5503e+00
1.0847e+00,1.3491e+00
1.1263e+00,1.6161e+00
9.0731e-01,1.4463e+00
9.7587e-01,1.4599e+00
8.5190e-01,1.6108e+00
8.9445e-01,1.6006e+00
9.9930e-01,1.4471e+00
1.0922e+00,1.4986e+00
7.3035e-01,1.5985e+00
8.3941e-01,1.5873e+00
8.6054e-01,1.4958e+00
9.9588e-01,1.2275e+00
8.5044e-01,1.7335e+00
8.6583e-01,1.4942e+00
1.1708e+00,1.4838e+00
1.0247e+00,1.3186e+00
1.0587e+00,1.8112e+00
9.0590e-01,1.3773e+00
9.5644e-01,1.5231e+00
1.0251e+00,1.5387e+00
1.0291e+00,1.3777e+00
9.3330e-01,1.5733e+00
1.0555e+00,1.4051e+00
1.0630e+00,1.5209e+00
1.0154e+00,1.4529e+00
1.0657e+00,1.3546e+00
1.0454e+00,1.2241e+00
9.6343e-01,1.2374e+00
1.0045e+00,1.3396e+00
9.5129e-01,1.4242e+00
1.1394e+00,1.3694e+00
1.1754e+00,1.2428e+00
1.0617e+00,1.4393e+00
