# GLoss,DLoss,KLDivergence,RevKLDivergence
7.5454e-01,1.8101e+00,3.4252e-01,3.5029e-01
8.1353e-01,1.9650e+00,3.5466e-01,4.1560e-01
6.9904e-01,2.0328e+00,3.1491e-01,3.0396e-01
7.6374e-01,1.7079e+00,3.2093e-01,3.4953e-01
6.2714e-01,1.9051e+00,2.6261e-01,2.6231e-01
8.1869e-01,1.9049e+00,3.7199e-01,3.6357e-01
7.2646e-01,1.9855e+00,2.8089e-01,3.3475e-01
7.5347e-01,1.9874e+00,2.6507e-01,2.7648e-01
7.5324e-01,2.0441e+00,3.2620e-01,3.5516e-01
6.5851e-01,1.9104e+00,2.7836e-01,3.3879e-01
7.9647e-01,1.9759e+00,2.8295e-01,3.0393e-01
7.0281e-01,1.9255e+00,2.8791e-01,2.9347e-01
7.2975e-01,1.8722e+00,2.8549e-01,2.8670e-01
9.1628e-01,1.8646e+00,3.4903e-01,3.6110e-01
7.2900e-01,2.0557e+00,2.7117e-01,2.9547e-01
9.3654e-01,1.9911e+00,2.8233e-01,2.9090e-01
7.7581e-01,1.7583e+00,2.3645e-01,2.4715e-01
7.5003e-01,1.9832e+00,3.0316e-01,3.5797e-01
7.6145e-01,1.7015e+00,2.7849e-01,3.2079e-01
7.4839e-01,1.9160e+00,2.9427e-01,3.1334e-01
7.2476e-01,1.9638e+00,2.5966e-01,2.5432e-01
7.2399e-01,2.0412e+00,2.9671e-01,3.0041e-01
8.8332e-01,1.8532e+00,3.9442e-01,4.2792e-01
8.9467e-01,1.8072e+00,3.0122e-01,3.1172e-01
7.6546e-01,1.9389e+00,3.1442e-01,3.1880e-01
7.8259e-01,1.8616e+00,3.3090e-01,3.5211e-01
7.8362e-01,1.7675e+00,3.1811e-01,3.0919e-01
7.1501e-01,1.8195e+00,3.7264e-01,3.7336e-01
6.5338e-01,1.9052e+00,3.1076e-01,2.9668e-01
6.8674e-01,1.7570e+00,2.6195e-01,2.4659e-01
7.5817e-01,1.8649e+00,2.3673e-01,2.2050e-01
7.4706e-01,1.9624e+00,2.8698e-01,2.6749e-01
8.3978e-01,2.0363e+00,2.7212e-01,2.7333e-01
8.1677e-01,2.0851e+00,3.0207e-01,3.1549e-01
7.5723e-01,1.8720e+00,2.3675e-01,2.4220e-01
9.1694e-01,2.0273e+00,3.3384e-01,3.3886e-01
6.4733e-01,1.8019e+00,3.7888e-01,4.4387e-01
7.3406e-01,1.8656e+00,2.7048e-01,2.8591e-01
7.9426e-01,1.8245e+00,3.4214e-01,3.9878e-01
8.2695e-01,1.8316e+00,3.9174e-01,4.1716e-01
6.8955e-01,1.8960e+00,3.4185e-01,3.3884e-01
8.4356e-01,1.9042e+00,3.6459e-01,3.4917e-01
7.3373e-01,1.9432e+00,2.9086e-01,3.7907e-01
7.5178e-01,1.9347e+00,3.5940e-01,4.2464e-01
7.6106e-01,2.1331e+00,3.7094e-01,3.9928e-01
