# GLoss,DLoss,KLDivergence,RevKLDivergence
1.4860e+00,2.3464e+00,1.9792e+00,4.9648e+00
4.0969e-03,7.4418e+00,1.2422e+00,2.3840e+00
1.8926e-02,6.5935e+00,5.8255e-01,6.3658e-01
2.8209e-02,5.3599e+00,2.6083e-01,2.7035e-01
2.4476e-02,8.8766e+00,3.0405e-01,6.1531e-01
6.8295e-02,5.2534e+00,2.8594e-01,3.9160e-01
7.6942e-02,5.5400e+00,1.7874e-01,2.8599e-01
2.4825e-01,5.3785e+00,1.8758e-01,2.9403e-01
1.9051e-01,4.1628e+00,1.8165e-01,3.0259e-01
2.4604e-01,4.0979e+00,1.9417e-01,2.4757e-01
2.5372e-01,4.4869e+00,2.2802e-01,3.7424e-01
2.4772e-01,4.6338e+00,1.4242e-01,1.8087e-01
4.0603e-01,4.4388e+00,2.2695e-01,2.8109e-01
2.4054e-01,4.7190e+00,2.3192e-01,2.9878e-01
4.9151e-01,4.1910e+00,2.8125e-01,3.8213e-01
3.4263e-01,2.9329e+00,2.5743e-01,3.6270e-01
3.7833e-01,3.9171e+00,3.4683e-01,4.9501e-01
3.9792e-01,3.2628e+00,2.5002e-01,3.0755e-01
3.1705e-01,3.7063e+00,3.0406e-01,4.0620e-01
4.9151e-01,3.4999e+00,2.9736e-01,5.8202e-01
4.2460e-01,3.6249e+00,2.8966e-01,4.0534e-01
3.7307e-01,3.2583e+00,3.2674e-01,4.1744e-01
5.5785e-01,3.3066e+00,2.7708e-01,3.4999e-01
4.1546e-01,3.1777e+00,2.8362e-01,4.6197e-01
4.7096e-01,2.6406e+00,3.0327e-01,4.1940e-01
4.3373e-01,3.0851e+00,2.5559e-01,3.6379e-01
3.7420e-01,3.3438e+00,2.7656e-01,3.7404e-01
4.3107e-01,3.5034e+00,2.5515e-01,3.1430e-01
3.5576e-01,3.4127e+00,2.6480e-01,3.5507e-01
4.0514e-01,3.0023e+00,3.1752e-01,4.1720e-01
4.5418e-01,3.2351e+00,3.1432e-01,3.9017e-01
4.7269e-01,2.9593e+00,2.9085e-01,4.0070e-01
3.7973e-01,3.4179e+00,3.5998e-01,4.5070e-01
3.8283e-01,3.0409e+00,3.7572e-01,4.7366e-01
4.5441e-01,2.7735e+00,3.7143e-01,6.8353e-01
5.3397e-01,3.6358e+00,3.1535e-01,4.4047e-01
5.1701e-01,3.5961e+00,3.1210e-01,4.5205e-01
3.9199e-01,3.3091e+00,2.9410e-01,4.2979e-01
3.2307e-01,3.4976e+00,3.7024e-01,6.5342e-01
5.0379e-01,3.1828e+00,3.0666e-01,4.5805e-01
3.6935e-01,3.1171e+00,3.3080e-01,4.5107e-01
4.7744e-01,2.9830e+00,4.1445e-01,5.5755e-01
3.5111e-01,3.1812e+00,3.5345e-01,4.6995e-01
3.5626e-01,3.8882e+00,3.3973e-01,5.6226e-01
4.1731e-01,3.3955e+00,3.8420e-01,4.6299e-01
4.7396e-01,3.1423e+00,3.5935e-01,4.9916e-01
3.6843e-01,3.5905e+00,2.4870e-01,3.1142e-01
3.2181e-01,3.8665e+00,3.9168e-01,5.4879e-01
4.0302e-01,3.6036e+00,3.7006e-01,5.1002e-01
4.9460e-01,3.2881e+00,3.1730e-01,4.2160e-01
3.9756e-01,3.4572e+00,3.6847e-01,4.5336e-01
3.9351e-01,3.2658e+00,3.8146e-01,4.9428e-01
3.3538e-01,3.2664e+00,3.7986e-01,5.2981e-01
4.5806e-01,3.5458e+00,3.9316e-01,6.1735e-01
3.1740e-01,3.9713e+00,3.7282e-01,4.9945e-01
4.5642e-01,3.4384e+00,4.6313e-01,5.9004e-01
4.3337e-01,3.5053e+00,4.4675e-01,8.3873e-01
3.4230e-01,3.7704e+00,4.3777e-01,6.4328e-01
2.9029e-01,3.7782e+00,4.1790e-01,6.9237e-01
4.1135e-01,3.8304e+00,3.8366e-01,5.6007e-01
3.8644e-01,3.0719e+00,4.4627e-01,5.4920e-01
5.4599e-01,3.0040e+00,4.8278e-01,1.0140e+00
3.5309e-01,2.9889e+00,4.7980e-01,7.5272e-01
4.5298e-01,3.0098e+00,4.3779e-01,6.8190e-01
3.0677e-01,2.8833e+00,5.2734e-01,8.5626e-01
4.2095e-01,3.4844e+00,5.2148e-01,9.1599e-01
5.7206e-01,3.1791e+00,4.6855e-01,6.7492e-01
4.2481e-01,3.2061e+00,4.3354e-01,5.2632e-01
3.4825e-01,3.5510e+00,4.7014e-01,7.7372e-01
4.2127e-01,3.2400e+00,4.7249e-01,7.5520e-01
4.7585e-01,3.1613e+00,4.7605e-01,7.4130e-01
3.1377e-01,3.0275e+00,5.5230e-01,1.0425e+00
4.9961e-01,3.1295e+00,5.3774e-01,7.7935e-01
4.1962e-01,3.5708e+00,5.0571e-01,6.3038e-01
3.8346e-01,3.0929e+00,5.7942e-01,8.9029e-01
3.2965e-01,3.0088e+00,5.1919e-01,8.4102e-01
4.0398e-01,3.5215e+00,5.3836e-01,8.8974e-01
3.5860e-01,2.9514e+00,4.6838e-01,7.0067e-01
5.9186e-01,3.4161e+00,5.3565e-01,9.0011e-01
3.5693e-01,3.0964e+00,5.0296e-01,8.1258e-01
3.7549e-01,3.0507e+00,5.4789e-01,1.0545e+00
4.3331e-01,2.9206e+00,5.9680e-01,8.8579e-01
3.6631e-01,3.1381e+00,5.4635e-01,7.8504e-01
3.1719e-01,3.3528e+00,5.3094e-01,1.0961e+00
5.9902e-01,2.5873e+00,4.8517e-01,8.7592e-01
3.2713e-01,3.2999e+00,5.2073e-01,8.6243e-01
2.7322e-01,3.4847e+00,5.1351e-01,6.8730e-01
4.3091e-01,2.9349e+00,6.3691e-01,1.2906e+00
4.8428e-01,3.1871e+00,6.2863e-01,1.2227e+00
3.2943e-01,2.8975e+00,6.0594e-01,1.0554e+00
5.0988e-01,3.4443e+00,5.8809e-01,7.7842e-01
4.6879e-01,3.3000e+00,5.6389e-01,8.7535e-01
4.1642e-01,3.0429e+00,6.1153e-01,1.0713e+00
3.5914e-01,2.8203e+00,6.4917e-01,1.0117e+00
4.9581e-01,3.1486e+00,5.9672e-01,1.0414e+00
4.1761e-01,2.7827e+00,5.9601e-01,1.0702e+00
3.6513e-01,2.3744e+00,6.1590e-01,1.2394e+00
3.7406e-01,3.2773e+00,6.2501e-01,8.4334e-01
4.5567e-01,3.2016e+00,6.2461e-01,9.1325e-01
3.6706e-01,3.2966e+00,6.6582e-01,9.8418e-01
4.5370e-01,3.8000e+00,6.2402e-01,9.3295e-01
4.2026e-01,2.9642e+00,5.4349e-01,8.6909e-01
4.2553e-01,3.1545e+00,7.3231e-01,1.0884e+00
4.7578e-01,3.5648e+00,5.9624e-01,8.5105e-01
4.5615e-01,3.2882e+00,5.9929e-01,9.1198e-01
2.9698e-01,3.3838e+00,6.9936e-01,1.1264e+00
4.6649e-01,2.8692e+00,6.4549e-01,1.1796e+00
3.2413e-01,3.4060e+00,6.6181e-01,1.4554e+00
3.5387e-01,3.0626e+00,6.3743e-01,1.2305e+00
4.0236e-01,3.1196e+00,7.1597e-01,1.1637e+00
3.8863e-01,2.8684e+00,6.8788e-01,1.1857e+00
5.5674e-01,2.9845e+00,7.8595e-01,1.3193e+00
3.7113e-01,2.7196e+00,6.7318e-01,1.0347e+00
3.1813e-01,3.1355e+00,6.8606e-01,8.8158e-01
3.4853e-01,3.4067e+00,6.2875e-01,1.1953e+00
4.2610e-01,3.2560e+00,7.3720e-01,1.0544e+00
3.1306e-01,2.9999e+00,6.5807e-01,1.2010e+00
4.0127e-01,3.1098e+00,7.2779e-01,1.1684e+00
3.9533e-01,3.0640e+00,6.0721e-01,1.0555e+00
4.1615e-01,3.4865e+00,6.1897e-01,9.4501e-01
3.0926e-01,3.2536e+00,7.2174e-01,1.1287e+00
2.6127e-01,3.3187e+00,6.6037e-01,1.7099e+00
3.0321e-01,3.2762e+00,6.3488e-01,9.7032e-01
4.2454e-01,3.1944e+00,8.4370e-01,1.5872e+00
3.8587e-01,3.3029e+00,6.8543e-01,1.0861e+00
2.8745e-01,3.3357e+00,8.0832e-01,1.7373e+00
3.5188e-01,3.2921e+00,6.2834e-01,1.1371e+00
3.3086e-01,2.8531e+00,7.6222e-01,1.2759e+00
2.4350e-01,3.6161e+00,8.1526e-01,1.6332e+00
3.0118e-01,3.4485e+00,7.1404e-01,1.3516e+00
2.9379e-01,3.2875e+00,6.8505e-01,1.2005e+00
4.0910e-01,3.3731e+00,7.4971e-01,1.1513e+00
3.5332e-01,3.1661e+00,7.7015e-01,1.8173e+00
3.4820e-01,3.4988e+00,7.5309e-01,1.3396e+00
3.8507e-01,3.2001e+00,7.0148e-01,1.4651e+00
4.2904e-01,3.2591e+00,7.4246e-01,1.1970e+00
