# GLoss,DLoss
1.0032e+00,1.1894e+00
8.3825e-01,1.4545e+00
9.0578e-01,1.3658e+00
9.4260e-01,1.4914e+00
9.4010e-01,1.3809e+00
9.7295e-01,1.5760e+00
9.1020e-01,1.4657e+00
9.0762e-01,1.3613e+00
9.2982e-01,1.5387e+00
8.5560e-01,1.3636e+00
8.7056e-01,1.6153e+00
1.0254e+00,1.2063e+00
9.8864e-01,1.5038e+00
1.0894e+00,1.3143e+00
1.1391e+00,1.2144e+00
8.9081e-01,1.5924e+00
9.9488e-01,1.2660e+00
9.8504e-01,1.2654e+00
8.6809e-01,1.2844e+00
9.5684e-01,1.0815e+00
1.1145e+00,1.6738e+00
1.1593e+00,1.4687e+00
1.0703e+00,1.3512e+00
1.0422e+00,1.3568e+00
8.5126e-01,1.5210e+00
1.0918e+00,1.4424e+00
9.6669e-01,1.4586e+00
8.9233e-01,1.3188e+00
8.8333e-01,1.6351e+00
9.0430e-01,1.3682e+00
9.4302e-01,1.5281e+00
9.9134e-01,1.3211e+00
9.4772e-01,1.6770e+00
8.9384e-01,1.5676e+00
1.0905e+00,1.2493e+00
9.9328e-01,1.6609e+00
9.1365e-01,1.4480e+00
1.0550e+00,1.4787e+00
1.3290e+00,1.1198e+00
9.6268e-01,1.4525e+00
9.3329e-01,1.5701e+00
1.0597e+00,1.4573e+00
9.5361e-01,1.3207e+00
1.1596e+00,1.3517e+00
1.1435e+00,1.4439e+00
9.1953e-01,1.4044e+00
1.1120e+00,1.2869e+00
8.6044e-01,1.3652e+00
9.8163e-01,1.1653e+00
1.0924e+00,1.2141e+00
9.2746e-01,1.4227e+00
8.8475e-01,1.6195e+00
1.0891e+00,1.5995e+00
8.7965e-01,1.7066e+00
9.1768e-01,1.1982e+00
9.0161e-01,1.7814e+00
1.0726e+00,1.3572e+00
8.0538e-01,1.5614e+00
7.9855e-01,1.4297e+00
8.8088e-01,1.5142e+00
8.2388e-01,1.5314e+00
8.1016e-01,1.7345e+00
1.2697e+00,1.2277e+00
1.0597e+00,1.5433e+00
8.0219e-01,1.3084e+00
9.6143e-01,1.3857e+00
9.3796e-01,1.3260e+00
9.4510e-01,1.2076e+00
9.3774e-01,1.4169e+00
