# GLoss,DLoss,KLDivergence,RevKLDivergence
7.8103e-01,2.0660e+00,1.4237e-01,1.5750e-01
7.4207e-01,2.0647e+00,2.4577e-01,2.9144e-01
7.8053e-01,2.0237e+00,1.4823e-01,1.5949e-01
7.0968e-01,1.7923e+00,2.0295e-01,2.3517e-01
7.7724e-01,1.8818e+00,1.5907e-01,1.6896e-01
8.1904e-01,1.8544e+00,1.4986e-01,1.8662e-01
6.8038e-01,1.6294e+00,2.7811e-01,3.3417e-01
7.3093e-01,2.0133e+00,2.2284e-01,2.7109e-01
7.6339e-01,1.9063e+00,1.9849e-01,2.5607e-01
6.0154e-01,1.7905e+00,1.6714e-01,2.0244e-01
7.2093e-01,1.8695e+00,1.9593e-01,2.2822e-01
7.4092e-01,1.6778e+00,3.0864e-01,4.2607e-01
7.0529e-01,1.7765e+00,2.5934e-01,2.8137e-01
8.0918e-01,1.8578e+00,1.9890e-01,2.1560e-01
6.2605e-01,1.7860e+00,1.9583e-01,2.1476e-01
7.8451e-01,1.9164e+00,1.9056e-01,2.0254e-01
7.1801e-01,1.9298e+00,2.2938e-01,2.7769e-01
6.2206e-01,1.9589e+00,1.9505e-01,2.4202e-01
7.7482e-01,1.6404e+00,2.1922e-01,2.3857e-01
7.8801e-01,1.7370e+00,2.4983e-01,2.8565e-01
7.6938e-01,1.9072e+00,2.0791e-01,2.7080e-01
6.8636e-01,2.0570e+00,1.5309e-01,1.5714e-01
7.5655e-01,1.7581e+00,2.9961e-01,4.0336e-01
7.3003e-01,1.8739e+00,2.0669e-01,2.5749e-01
6.8832e-01,1.8283e+00,1.3459e-01,1.5686e-01
7.5625e-01,2.0403e+00,2.5590e-01,3.1713e-01
7.2295e-01,1.9095e+00,2.3119e-01,2.5287e-01
7.2029e-01,1.6449e+00,2.5067e-01,3.5354e-01
7.9859e-01,1.7081e+00,2.1605e-01,2.3049e-01
8.3041e-01,2.0375e+00,2.4053e-01,2.8838e-01
8.2988e-01,1.8053e+00,2.4530e-01,2.6176e-01
7.8530e-01,1.7487e+00,2.3880e-01,2.5382e-01
7.5719e-01,2.1068e+00,1.6797e-01,1.7213e-01
7.7534e-01,2.0688e+00,2.7972e-01,3.4254e-01
8.5060e-01,2.0695e+00,1.8496e-01,2.1627e-01
7.6535e-01,2.0209e+00,2.1806e-01,2.5116e-01
7.1537e-01,1.9472e+00,2.5331e-01,3.6052e-01
7.0697e-01,1.9684e+00,2.4629e-01,2.9878e-01
8.1653e-01,1.7374e+00,2.6156e-01,2.8916e-01
7.9532e-01,1.7724e+00,2.0771e-01,2.2919e-01
6.9943e-01,1.9049e+00,2.3006e-01,2.7266e-01
7.1224e-01,1.7325e+00,2.7176e-01,3.2213e-01
7.7259e-01,2.0037e+00,2.5546e-01,3.1425e-01
8.2017e-01,2.0771e+00,2.5484e-01,2.6666e-01
8.4204e-01,1.9838e+00,2.3988e-01,2.4464e-01
7.3133e-01,1.8723e+00,2.2969e-01,2.4545e-01
7.3180e-01,1.7771e+00,2.2819e-01,2.4730e-01
7.6055e-01,2.0920e+00,2.4442e-01,3.1284e-01
7.1771e-01,1.9163e+00,2.9058e-01,2.9087e-01
7.7482e-01,2.0268e+00,2.3263e-01,2.6248e-01
6.6318e-01,1.8187e+00,2.0616e-01,2.1662e-01
7.4256e-01,1.9453e+00,1.9167e-01,2.1905e-01
6.7477e-01,1.8274e+00,2.7948e-01,3.6614e-01
7.7796e-01,1.8455e+00,2.4939e-01,2.7637e-01
8.0652e-01,1.9908e+00,2.2803e-01,2.6359e-01
7.2409e-01,1.9692e+00,2.3568e-01,2.9259e-01
7.6827e-01,2.1619e+00,2.8835e-01,3.0091e-01
7.2085e-01,1.7541e+00,2.5820e-01,3.4190e-01
6.5877e-01,1.9523e+00,2.1317e-01,2.4449e-01
7.0447e-01,1.9802e+00,1.8687e-01,2.0660e-01
7.5866e-01,2.1702e+00,2.1958e-01,2.9406e-01
