# GLoss,DLoss
1.7176e+00,5.7347e-01
6.8997e-01,1.6048e+00
3.3967e-01,2.7143e+00
1.4535e-01,3.4239e+00
1.9634e-01,3.0761e+00
1.4191e-01,3.6594e+00
1.1121e-01,3.5692e+00
1.0475e-01,4.0007e+00
1.1142e-01,3.9279e+00
7.0243e-02,4.2694e+00
1.8546e-01,3.5482e+00
1.0653e-01,3.9417e+00
1.3198e-01,3.6154e+00
1.3350e-01,3.6084e+00
1.3649e-01,3.8585e+00
1.2096e-01,3.7960e+00
2.7222e-01,2.9817e+00
4.0728e-01,3.0856e+00
3.9447e-01,2.4978e+00
9.5287e-01,1.6417e+00
1.2814e+00,9.3949e-01
1.4254e+00,9.5527e-01
1.6252e+00,8.5272e-01
1.4020e+00,1.0277e+00
1.3824e+00,9.7364e-01
1.5259e+00,7.4048e-01
1.6618e+00,7.1591e-01
1.3214e+00,9.3665e-01
1.4327e+00,8.5814e-01
1.4828e+00,7.8697e-01
1.3687e+00,8.0559e-01
1.4970e+00,6.8769e-01
1.5113e+00,7.6607e-01
1.4144e+00,7.8329e-01
1.5230e+00,7.1798e-01
1.4058e+00,8.5875e-01
1.3726e+00,7.2961e-01
1.4062e+00,7.8181e-01
1.4302e+00,7.4928e-01
1.2701e+00,9.1192e-01
1.3399e+00,8.3368e-01
1.3109e+00,7.6200e-01
1.4104e+00,7.1956e-01
1.4232e+00,6.9522e-01
1.3671e+00,7.2705e-01
1.3654e+00,7.8518e-01
1.3991e+00,7.0617e-01
1.4329e+00,7.0384e-01
1.3416e+00,7.9406e-01
1.3054e+00,7.2094e-01
1.4843e+00,6.8670e-01
1.4105e+00,7.6108e-01
1.4612e+00,7.2644e-01
1.3790e+00,7.4902e-01
1.3564e+00,7.1327e-01
1.3818e+00,7.6118e-01
1.2971e+00,7.7396e-01
1.3116e+00,7.8069e-01
1.3584e+00,7.8748e-01
1.3399e+00,7.6212e-01
1.3668e+00,7.4268e-01
1.3795e+00,7.7491e-01
1.4355e+00,7.6430e-01
1.3096e+00,7.2163e-01
1.3279e+00,7.5447e-01
1.3891e+00,7.5690e-01
1.3685e+00,6.8422e-01
1.4088e+00,7.2147e-01
1.3566e+00,7.1650e-01
1.3898e+00,7.2596e-01
1.3820e+00,7.1399e-01
1.3874e+00,6.9234e-01
1.3479e+00,7.3555e-01
1.4248e+00,7.1074e-01
1.3539e+00,7.1401e-01
1.3724e+00,7.1045e-01
1.3518e+00,7.2011e-01
1.3698e+00,7.0053e-01
1.3758e+00,7.5105e-01
1.3369e+00,7.6492e-01
1.3452e+00,7.1139e-01
1.3398e+00,7.4854e-01
1.3262e+00,7.4895e-01
1.3257e+00,7.2191e-01
1.3476e+00,7.1945e-01
1.3724e+00,7.5016e-01
1.3467e+00,7.4416e-01
1.3635e+00,7.6237e-01
1.3840e+00,7.3754e-01
1.3334e+00,7.4262e-01
1.3201e+00,7.1929e-01
1.3873e+00,7.4401e-01
1.3727e+00,7.0289e-01
1.4382e+00,7.7015e-01
1.3418e+00,7.6387e-01
1.3241e+00,7.3694e-01
1.3766e+00,7.5880e-01
1.3495e+00,7.6470e-01
1.3211e+00,7.4360e-01
1.3399e+00,7.4075e-01
1.3540e+00,7.3376e-01
1.3563e+00,7.2745e-01
1.3379e+00,8.0951e-01
1.3270e+00,7.1572e-01
1.3513e+00,7.5022e-01
1.3546e+00,7.4620e-01
1.3681e+00,7.2557e-01
1.3836e+00,7.2036e-01
