# GLoss,DLoss,RevKLDivergence,ModesCovered
1.4539e+00,5.8270e-01,7.9353e+00,1.0000e+01
3.6154e-01,2.0168e+00,7.7236e+00,1.0000e+01
4.1498e-01,2.1552e+00,3.4414e+00,1.0000e+01
8.1593e-01,1.3415e+00,3.8827e+00,1.0000e+01
6.7013e-01,1.7373e+00,3.8434e+00,1.0000e+01
6.2459e-01,1.6544e+00,2.5859e+00,1.0000e+01
5.9351e-01,1.6150e+00,1.8432e+00,1.0000e+01
8.4990e-01,1.3213e+00,1.2341e+00,1.0000e+01
7.6075e-01,1.4196e+00,1.1094e+00,1.0000e+01
7.4818e-01,1.4408e+00,4.3453e-01,1.0000e+01
6.8735e-01,1.5692e+00,1.3434e+00,1.0000e+01
8.2700e-01,1.2886e+00,1.1887e+00,1.0000e+01
1.1858e+00,1.0781e+00,8.3746e-01,1.0000e+01
1.2277e+00,1.1140e+00,7.7446e-01,1.0000e+01
9.4354e-01,1.1707e+00,3.2528e-01,1.0000e+01
1.1511e+00,1.0773e+00,1.0868e+00,1.0000e+01
1.2545e+00,1.0476e+00,1.5728e-01,1.0000e+01
1.0513e+00,1.0554e+00,5.4182e-01,1.0000e+01
1.1501e+00,1.0368e+00,3.6552e-01,1.0000e+01
1.0302e+00,1.0172e+00,2.5206e-01,1.0000e+01
1.0002e+00,1.1798e+00,7.4023e-01,1.0000e+01
1.1700e+00,1.0672e+00,1.5707e-01,1.0000e+01
1.1992e+00,1.0059e+00,2.1585e-01,1.0000e+01
1.3013e+00,1.0303e+00,2.4780e-01,1.0000e+01
1.3150e+00,9.9595e-01,1.3893e-01,1.0000e+01
1.2473e+00,8.3000e-01,2.2544e-02,1.0000e+01
1.3061e+00,9.0290e-01,2.3341e-01,1.0000e+01
1.2098e+00,1.1213e+00,2.9147e-01,1.0000e+01
1.2635e+00,9.8728e-01,3.4446e-01,1.0000e+01
1.1553e+00,1.0269e+00,3.3503e-01,1.0000e+01
1.3245e+00,8.8292e-01,2.8405e-01,1.0000e+01
1.4084e+00,9.0548e-01,1.8311e-01,1.0000e+01
1.3572e+00,9.4386e-01,1.9148e-01,1.0000e+01
1.3487e+00,8.7083e-01,6.9019e-02,1.0000e+01
1.2401e+00,9.2308e-01,1.2926e-01,1.0000e+01
1.4294e+00,8.2965e-01,4.9876e-02,1.0000e+01
1.1406e+00,8.8971e-01,1.6494e-01,1.0000e+01
1.4306e+00,9.8047e-01,1.4022e-01,1.0000e+01
1.2397e+00,9.2432e-01,2.4244e-01,1.0000e+01
1.3410e+00,8.4581e-01,3.6190e-01,1.0000e+01
1.1025e+00,1.0199e+00,1.7439e-01,1.0000e+01
1.1814e+00,1.1078e+00,2.0340e-01,1.0000e+01
1.4095e+00,9.0086e-01,2.0254e-01,1.0000e+01
1.5115e+00,8.8711e-01,9.7379e-02,1.0000e+01
1.2134e+00,9.5953e-01,1.8575e-01,1.0000e+01
1.2587e+00,9.8900e-01,3.9820e-01,1.0000e+01
1.2443e+00,1.0134e+00,3.9942e-01,1.0000e+01
