# GLoss,DLoss,RevKLDivergence,ModesCovered
1.3963e+00,6.8326e-01,7.9154e+00,1.0000e+01
5.4859e-01,1.6859e+00,7.0182e+00,1.0000e+01
2.2650e-01,2.6359e+00,7.9222e+00,1.0000e+01
2.2634e-01,3.1009e+00,6.5323e+00,1.0000e+01
1.4153e-01,3.3825e+00,5.7086e+00,1.0000e+01
1.4594e-01,3.8226e+00,6.6544e+00,1.0000e+01
6.8124e-02,4.5998e+00,7.1865e+00,1.0000e+01
7.2297e-02,4.8412e+00,6.3596e+00,1.0000e+01
5.1846e-02,5.1324e+00,4.2469e+00,1.0000e+01
6.0771e-02,5.0873e+00,4.0347e+00,1.0000e+01
9.3243e-02,4.7798e+00,4.4495e+00,1.0000e+01
2.7670e-02,4.9480e+00,4.9564e+00,1.0000e+01
2.3146e-02,5.3195e+00,4.0050e+00,1.0000e+01
3.4775e-02,4.9211e+00,3.4419e+00,1.0000e+01
2.6443e-02,5.6881e+00,3.4728e+00,1.0000e+01
7.2884e-02,4.6566e+00,3.0137e+00,1.0000e+01
4.7052e-02,5.1178e+00,2.5209e+00,1.0000e+01
9.7311e-02,4.5473e+00,3.4518e+00,1.0000e+01
1.1079e-01,4.3490e+00,2.9955e+00,1.0000e+01
8.2207e-02,4.3467e+00,3.4395e+00,1.0000e+01
1.3163e-01,4.2701e+00,1.9686e+00,1.0000e+01
1.3627e-01,4.1481e+00,2.0131e+00,1.0000e+01
1.5052e-01,4.4363e+00,2.1499e+00,1.0000e+01
1.9469e-01,3.5579e+00,2.8463e+00,1.0000e+01
2.4869e-01,3.2998e+00,1.5283e+00,1.0000e+01
3.5757e-01,3.0799e+00,1.6528e+00,1.0000e+01
5.8624e-01,2.9928e+00,1.0502e+00,1.0000e+01
6.0924e-01,2.6736e+00,8.5921e-01,1.0000e+01
7.0678e-01,2.2282e+00,1.0327e+00,1.0000e+01
1.0614e+00,2.0616e+00,1.2115e+00,1.0000e+01
1.3496e+00,1.2836e+00,1.1549e+00,1.0000e+01
1.2833e+00,1.1469e+00,1.1386e+00,1.0000e+01
1.1510e+00,1.0942e+00,4.9433e-01,1.0000e+01
1.5086e+00,1.1227e+00,5.3690e-01,1.0000e+01
1.5013e+00,9.9461e-01,5.4292e-01,1.0000e+01
1.3074e+00,1.0440e+00,5.7739e-01,1.0000e+01
1.5724e+00,7.4767e-01,3.5378e-01,1.0000e+01
1.4820e+00,7.1513e-01,2.7638e-01,1.0000e+01
1.6151e+00,8.0675e-01,3.2108e-01,1.0000e+01
1.4203e+00,9.7273e-01,4.4986e-01,1.0000e+01
1.3886e+00,8.9527e-01,3.7921e-01,1.0000e+01
1.3878e+00,9.0404e-01,4.3302e-01,1.0000e+01
1.5592e+00,8.5630e-01,3.5300e-01,1.0000e+01
1.4035e+00,8.7054e-01,3.2102e-01,1.0000e+01
1.4093e+00,9.1340e-01,5.0452e-01,1.0000e+01
1.5288e+00,7.9090e-01,6.9831e-01,1.0000e+01
1.4841e+00,9.1959e-01,6.3464e-01,1.0000e+01
1.3370e+00,8.2695e-01,2.7189e-01,1.0000e+01
1.6625e+00,7.6205e-01,2.8942e-01,1.0000e+01
1.5416e+00,7.5515e-01,5.1683e-01,1.0000e+01
1.4676e+00,7.6955e-01,4.9385e-01,1.0000e+01
1.3626e+00,9.4267e-01,3.2176e-01,1.0000e+01
1.3336e+00,8.5887e-01,5.4051e-01,1.0000e+01
1.3268e+00,8.7071e-01,1.8203e-01,1.0000e+01
1.1346e+00,9.3722e-01,1.1711e-01,1.0000e+01
1.2978e+00,8.0549e-01,1.8386e-01,1.0000e+01
1.2848e+00,8.7165e-01,2.6533e-01,1.0000e+01
1.4877e+00,6.9857e-01,1.9766e-01,1.0000e+01
1.5085e+00,6.6875e-01,2.3432e-01,1.0000e+01
1.3917e+00,6.9575e-01,2.3467e-01,1.0000e+01
1.3624e+00,9.0088e-01,1.9710e-01,1.0000e+01
1.3546e+00,7.6761e-01,1.5283e-01,1.0000e+01
1.3742e+00,8.1567e-01,1.8694e-01,1.0000e+01
1.5114e+00,7.2958e-01,2.5735e-01,1.0000e+01
1.3616e+00,7.6563e-01,5.5436e-01,1.0000e+01
1.3707e+00,8.1544e-01,1.6440e-01,1.0000e+01
1.3541e+00,7.8586e-01,2.9138e-01,1.0000e+01
1.4730e+00,7.7058e-01,2.8397e-01,1.0000e+01
1.4023e+00,7.0044e-01,3.2393e-01,1.0000e+01
1.4438e+00,7.3638e-01,1.9156e-01,1.0000e+01
1.4231e+00,7.3457e-01,2.0886e-01,1.0000e+01
1.3474e+00,7.6530e-01,1.6840e-01,1.0000e+01
1.5053e+00,6.9425e-01,5.2086e-01,1.0000e+01
1.3617e+00,7.6699e-01,1.1493e-01,1.0000e+01
1.3440e+00,7.3627e-01,1.2411e-01,1.0000e+01
1.4229e+00,6.9262e-01,6.5269e-01,1.0000e+01
1.3675e+00,6.9152e-01,1.5586e-01,1.0000e+01
1.3880e+00,7.3857e-01,1.4231e-01,1.0000e+01
1.4313e+00,7.7816e-01,9.2455e-02,1.0000e+01
1.3800e+00,6.9775e-01,8.0486e-02,1.0000e+01
1.3688e+00,7.2350e-01,1.3190e-01,1.0000e+01
1.3768e+00,7.1309e-01,2.2725e-02,1.0000e+01
1.3444e+00,7.8333e-01,4.6291e-01,1.0000e+01
1.3865e+00,7.4586e-01,2.2400e-01,1.0000e+01
1.4525e+00,7.1183e-01,1.6300e-01,1.0000e+01
1.4790e+00,6.7207e-01,1.2631e-01,1.0000e+01
1.3639e+00,7.4995e-01,2.0044e-01,1.0000e+01
1.5452e+00,6.8813e-01,9.1530e-02,1.0000e+01
1.3671e+00,7.1857e-01,7.6353e-02,1.0000e+01
1.3865e+00,7.4673e-01,5.1709e-02,1.0000e+01
1.4046e+00,6.9516e-01,1.4175e-01,1.0000e+01
1.3455e+00,7.3689e-01,9.7280e-02,1.0000e+01
1.4468e+00,6.8870e-01,2.1179e-01,1.0000e+01
1.3612e+00,7.1791e-01,1.1365e-01,1.0000e+01
1.3167e+00,7.4019e-01,2.7919e-01,1.0000e+01
1.3445e+00,7.0762e-01,6.3704e-02,1.0000e+01
1.4245e+00,6.6905e-01,1.6356e-01,1.0000e+01
1.4386e+00,7.1061e-01,3.7322e-01,1.0000e+01
1.4492e+00,7.1555e-01,1.8685e-01,1.0000e+01
1.4264e+00,7.0872e-01,1.4027e-01,1.0000e+01
1.3223e+00,7.4063e-01,5.0813e-02,1.0000e+01
1.3652e+00,7.2245e-01,5.0885e-02,1.0000e+01
1.2925e+00,7.2376e-01,1.2147e-01,1.0000e+01
1.3601e+00,7.2747e-01,8.1678e-02,1.0000e+01
1.3499e+00,7.1393e-01,2.1099e-01,1.0000e+01
1.4083e+00,7.1153e-01,9.0815e-02,1.0000e+01
1.3708e+00,7.2767e-01,1.2765e-01,1.0000e+01
1.3999e+00,7.6711e-01,5.1624e-02,1.0000e+01
1.3588e+00,7.1968e-01,9.6994e-02,1.0000e+01
1.3734e+00,6.9536e-01,2.8208e-02,1.0000e+01
1.3999e+00,7.5422e-01,2.2821e-01,1.0000e+01
1.4086e+00,6.4012e-01,8.5997e-02,1.0000e+01
1.4017e+00,6.9974e-01,9.4771e-02,1.0000e+01
1.3627e+00,7.1494e-01,1.8228e-01,1.0000e+01
1.3983e+00,7.4887e-01,1.3721e-01,1.0000e+01
1.2937e+00,7.3614e-01,2.4199e-01,1.0000e+01
1.3768e+00,6.7858e-01,1.6736e-01,1.0000e+01
1.4046e+00,6.7299e-01,5.0027e-02,1.0000e+01
1.3861e+00,7.2341e-01,6.0971e-02,1.0000e+01
1.3800e+00,7.2814e-01,5.2300e-02,1.0000e+01
1.3738e+00,7.5087e-01,9.3680e-02,1.0000e+01
1.3347e+00,7.2990e-01,9.6608e-02,1.0000e+01
1.3881e+00,7.2686e-01,3.4784e-02,1.0000e+01
1.3605e+00,7.8137e-01,4.3148e-02,1.0000e+01
1.3919e+00,7.0958e-01,1.0835e-01,1.0000e+01
1.3646e+00,7.2188e-01,2.1972e-02,1.0000e+01
1.2972e+00,7.9330e-01,2.3519e-02,1.0000e+01
1.3884e+00,7.3392e-01,5.1215e-02,1.0000e+01
