# GLoss,DLoss,KLDivergence,RevKLDivergence
1.9754e+00,1.4512e+00,1.5002e+00,4.2161e+00
3.2566e-03,7.4269e+00,1.1276e+00,1.4116e+00
6.0836e-03,6.1037e+00,1.7727e+00,2.0471e+00
3.9854e-04,9.2782e+00,2.2371e+00,5.2346e+00
2.0126e-03,7.6913e+00,2.2561e+00,6.6061e+00
5.7255e-03,7.6413e+00,2.3007e+00,7.7625e+00
2.5742e-03,8.0920e+00,2.3014e+00,7.9308e+00
1.3570e-02,1.0082e+01,2.3016e+00,7.9623e+00
3.4956e-02,9.2889e+00,2.3015e+00,7.9568e+00
6.3202e-02,5.4985e+00,2.3014e+00,7.8808e+00
3.7439e-02,6.9765e+00,2.3017e+00,8.0495e+00
9.5319e-02,7.7175e+00,2.3016e+00,8.0030e+00
8.0485e-02,8.9744e+00,2.3017e+00,8.0476e+00
1.0042e-01,4.7649e+00,2.3017e+00,8.0331e+00
1.0932e-01,6.2432e+00,2.3017e+00,8.0547e+00
5.9034e-02,4.9427e+00,2.3016e+00,8.0174e+00
1.6785e-02,6.3533e+00,2.3017e+00,8.0544e+00
6.8759e-02,8.7376e+00,2.3017e+00,8.0323e+00
1.5648e-01,4.1535e+00,2.3016e+00,8.0262e+00
6.5062e-02,5.0404e+00,2.3017e+00,8.0373e+00
3.9371e-02,5.6031e+00,2.3017e+00,8.0439e+00
8.4491e-02,4.8401e+00,2.3017e+00,8.0413e+00
8.5295e-02,5.0490e+00,2.2850e+00,7.4554e+00
8.5991e-02,3.9826e+00,2.3017e+00,8.0342e+00
5.2018e-02,4.5364e+00,2.3012e+00,7.8349e+00
9.8672e-02,5.7413e+00,2.3017e+00,8.0468e+00
1.2221e-01,5.3661e+00,2.3016e+00,8.0269e+00
8.4645e-02,4.4086e+00,2.2997e+00,7.6215e+00
8.9047e-02,4.9122e+00,2.3016e+00,8.0136e+00
2.2150e-01,4.8603e+00,2.3011e+00,7.7736e+00
1.0078e-01,5.1864e+00,2.2999e+00,7.7147e+00
1.3263e-01,4.9291e+00,2.2995e+00,7.6781e+00
4.6245e-02,5.9286e+00,2.3010e+00,7.7128e+00
1.1392e-01,4.8293e+00,2.3013e+00,7.8567e+00
1.9210e-01,5.1795e+00,2.2990e+00,7.5910e+00
1.3760e-01,5.6100e+00,2.3015e+00,7.8961e+00
8.7403e-02,5.3918e+00,2.2994e+00,7.4777e+00
4.3307e-02,5.6332e+00,2.2619e+00,6.8149e+00
4.6045e-02,5.0849e+00,2.3000e+00,7.4812e+00
1.0168e-01,4.1106e+00,2.2530e+00,6.5136e+00
8.9550e-02,4.3194e+00,2.2702e+00,6.5645e+00
1.5831e-01,5.0497e+00,2.2908e+00,6.4404e+00
8.6429e-02,4.7343e+00,2.2535e+00,6.2609e+00
1.0290e-01,5.2521e+00,2.2998e+00,7.5093e+00
9.3936e-02,5.6441e+00,2.2906e+00,6.5485e+00
7.4698e-02,5.0108e+00,2.2868e+00,7.1415e+00
1.3607e-01,5.0595e+00,2.3015e+00,7.9521e+00
2.1882e-02,5.2377e+00,2.2993e+00,7.4753e+00
1.9323e-02,5.8677e+00,2.2957e+00,6.7303e+00
5.6788e-02,5.1550e+00,2.3015e+00,7.9163e+00
1.9572e-01,4.9173e+00,2.2958e+00,7.3351e+00
2.4613e-01,5.0633e+00,2.2826e+00,6.2918e+00
8.4103e-02,6.1245e+00,2.3010e+00,7.7521e+00
9.7568e-02,4.1803e+00,2.2998e+00,7.5141e+00
1.4962e-01,5.8550e+00,2.2972e+00,7.2525e+00
8.0489e-02,5.4288e+00,2.3010e+00,7.7368e+00
9.0910e-02,4.6151e+00,2.3013e+00,7.8642e+00
5.4044e-02,5.0196e+00,2.2745e+00,7.2710e+00
1.1780e-01,5.6257e+00,2.2961e+00,6.7436e+00
8.6168e-02,5.8967e+00,2.2840e+00,6.9876e+00
4.4697e-02,5.7421e+00,2.2999e+00,7.6483e+00
1.1832e-01,5.2216e+00,2.3010e+00,7.7962e+00
6.7537e-02,5.9654e+00,2.3014e+00,7.9041e+00
7.9172e-02,6.0040e+00,2.3014e+00,7.8942e+00
1.2070e-01,4.5737e+00,2.3013e+00,7.8310e+00
6.6155e-02,5.5474e+00,2.2995e+00,7.3876e+00
4.2304e-02,4.7131e+00,2.2992e+00,7.5278e+00
7.1467e-02,5.8280e+00,2.2998e+00,7.4839e+00
1.8529e-01,5.7817e+00,2.3012e+00,7.7965e+00
7.7723e-02,5.0515e+00,2.3014e+00,7.9036e+00
7.8016e-02,5.8891e+00,2.2995e+00,7.5973e+00
2.7547e-02,6.2796e+00,2.3001e+00,7.7181e+00
1.8476e-01,6.0331e+00,2.3015e+00,7.9238e+00
4.6586e-02,5.4312e+00,2.3012e+00,7.7595e+00
6.1045e-02,5.8894e+00,2.3013e+00,7.8574e+00
1.4315e-01,5.1585e+00,2.3016e+00,7.9707e+00
1.0237e-01,4.6528e+00,2.3016e+00,7.9716e+00
