2.2928e-07,3.4955e-07,7.7122e-01,1.2450e-01,1.9030e-11,3.5131e-02,1.1102e-02,5.5827e-02,2.2098e-03,2.7860e-10
1.2680e-01,5.3369e-04,8.4061e-02,9.7819e-03,9.3038e-03,1.5910e-02,2.7760e-02,1.1815e-02,6.7420e-01,3.9832e-02
8.9786e-01,9.8608e-04,1.7715e-02,3.3434e-03,1.5016e-02,8.7988e-03,1.8094e-02,2.4458e-02,4.4522e-03,9.2748e-03
9.8999e-01,5.2834e-06,3.3467e-04,5.6209e-05,2.8377e-04,1.0434e-03,4.6272e-04,7.6863e-03,3.3126e-05,1.0080e-04
9.9319e-01,7.8751e-09,8.0080e-05,2.3465e-06,2.2065e-06,2.6174e-03,1.9398e-06,4.1083e-03,2.6295e-08,1.7723e-06
9.9990e-01,4.2744e-12,6.9264e-08,4.7440e-09,4.1507e-09,1.0191e-05,8.8873e-08,8.4975e-05,1.6134e-09,4.1650e-08
9.9998e-01,1.0644e-13,1.5854e-09,2.1219e-10,6.5126e-11,2.0559e-06,3.9795e-08,2.0033e-05,2.1030e-10,4.2212e-09
9.9999e-01,1.7180e-12,7.1817e-09,4.3199e-09,6.4191e-09,4.8210e-06,3.9400e-06,2.8165e-06,3.0283e-10,1.0501e-08
9.9999e-01,4.4215e-11,4.3364e-08,9.7025e-09,3.4534e-08,9.5382e-06,1.7342e-06,2.0183e-06,4.2281e-09,8.4731e-08
9.9997e-01,3.8328e-11,1.1028e-06,9.7369e-08,2.1917e-08,1.5614e-05,4.0151e-06,4.4300e-07,1.8224e-06,2.0389e-06
1.0000e+00,1.1362e-12,2.3139e-07,1.4329e-09,1.9827e-09,2.1748e-07,4.1760e-07,1.4743e-07,1.4711e-09,4.3131e-08
9.9999e-01,3.5888e-12,1.2636e-07,6.5045e-09,4.7577e-09,6.5887e-06,3.3651e-07,9.9541e-08,1.8727e-09,6.6426e-08
1.0000e+00,1.0450e-13,6.0022e-08,2.4843e-11,7.8140e-08,2.2099e-08,2.3840e-07,3.7258e-07,1.6361e-10,4.8809e-07
1.0000e+00,2.6568e-14,3.1505e-07,8.1393e-11,1.5935e-09,5.0705e-08,1.1414e-06,1.2350e-06,3.5988e-10,7.7008e-08
1.0000e+00,1.1763e-14,1.2943e-07,5.7695e-12,5.6972e-10,1.2853e-08,5.7961e-08,3.2164e-07,1.5457e-11,1.1905e-08
9.9999e-01,1.8644e-14,5.5630e-08,7.3888e-12,3.2003e-09,5.6325e-09,2.6103e-07,4.6899e-06,3.0989e-11,9.2019e-08
1.0000e+00,5.9786e-14,1.0118e-07,2.0956e-11,2.8477e-10,7.3214e-09,3.8317e-08,3.7496e-07,1.6667e-10,4.3870e-08
1.0000e+00,2.1737e-12,2.5856e-07,4.8505e-09,1.4573e-08,1.1335e-07,5.5768e-08,3.4652e-07,3.3785e-09,2.1912e-06
1.0000e+00,1.7165e-13,3.0443e-07,7.3161e-11,1.2449e-08,4.1589e-07,4.8856e-07,7.9057e-07,2.5255e-10,1.5259e-06
1.0000e+00,9.0159e-13,3.1639e-07,1.4002e-10,1.6716e-09,4.5819e-08,5.2069e-08,8.8551e-07,3.1644e-10,1.0591e-06
1.0000e+00,3.3943e-13,1.3546e-07,6.7170e-11,2.8664e-08,1.4852e-07,1.2296e-06,8.7475e-08,5.4262e-10,4.4276e-08
1.0000e+00,1.1057e-12,2.4947e-07,9.9007e-11,1.2597e-10,3.2543e-08,6.0591e-07,9.3727e-07,7.6586e-09,9.0046e-08
