# GLoss,DLoss
1.5915e+00,1.2627e+00
4.5811e-02,4.2279e+00
4.2322e-02,3.5509e+00
1.0607e-01,4.7505e+00
7.4691e-02,5.5262e+00
6.3222e-02,5.5260e+00
6.8532e-02,5.3095e+00
1.2116e-01,4.3719e+00
1.1094e-01,4.9948e+00
2.4359e-01,3.2284e+00
4.5903e-01,5.5755e+00
4.9126e-01,6.9293e+00
6.0422e-01,5.1234e+00
7.6870e-01,4.9354e+00
5.5444e-01,5.8537e+00
6.2191e-01,5.5660e+00
4.1315e-01,7.7642e+00
4.1344e-01,6.3498e+00
4.2077e-01,6.4735e+00
5.2191e-01,5.5514e+00
4.8104e-01,4.8356e+00
9.0190e-01,5.7885e+00
8.0694e-01,5.2557e+00
9.8451e-01,8.2936e+00
9.3657e-01,7.5852e+00
9.2395e-01,7.2384e+00
1.3337e+00,5.8332e+00
1.2501e+00,5.6118e+00
7.4912e-01,5.0142e+00
9.7846e-01,7.4092e+00
7.8709e-01,7.4664e+00
1.1753e+00,6.4804e+00
7.4727e-01,5.8550e+00
1.1801e+00,7.5501e+00
8.8249e-01,6.3726e+00
7.2875e-01,5.2973e+00
1.5548e+00,6.1320e+00
2.1204e+00,5.6760e+00
9.1430e-01,8.4805e+00
1.4578e+00,6.2867e+00
1.7790e+00,5.3822e+00
1.3611e+00,8.6656e+00
8.9210e-01,6.7983e+00
8.2882e-01,8.4306e+00
9.5079e-01,5.6291e+00
7.4967e-01,6.0893e+00
9.0820e-01,5.5826e+00
6.1404e-01,1.1262e+01
1.0643e+00,5.4870e+00
9.5736e-01,6.0114e+00
9.8475e-01,4.7114e+00
1.4529e+00,6.5412e+00
1.4903e+00,6.4073e+00
1.1978e+00,7.3192e+00
6.8244e-01,5.2126e+00
1.6120e+00,6.7860e+00
1.0957e+00,6.2576e+00
1.5621e+00,5.1378e+00
1.1610e+00,6.6378e+00
1.1882e+00,3.7983e+00
1.4987e+00,5.3989e+00
1.2165e+00,8.5494e+00
1.3002e+00,6.1108e+00
1.2200e+00,6.3410e+00
1.5144e+00,6.1927e+00
1.5363e+00,6.7666e+00
1.6296e+00,5.9743e+00
1.7796e+00,6.6825e+00
1.4932e+00,5.1703e+00
1.6066e+00,4.4440e+00
1.6563e+00,7.1690e+00
1.5076e+00,5.4916e+00
1.2567e+00,6.6787e+00
1.2393e+00,5.3573e+00
1.6058e+00,6.3658e+00
1.4697e+00,6.9109e+00
1.3197e+00,7.4168e+00
1.5096e+00,5.6995e+00
1.3087e+00,6.4353e+00
1.9314e+00,6.6446e+00
1.3348e+00,7.7848e+00
1.5692e+00,6.4382e+00
1.5285e+00,5.3315e+00
2.1544e+00,6.2053e+00
2.1484e+00,5.8126e+00
1.3668e+00,8.9062e+00
1.5646e+00,4.9615e+00
1.3270e+00,6.2746e+00
1.4493e+00,6.0830e+00
1.1872e+00,6.3779e+00
1.2435e+00,5.0972e+00
9.3967e-01,4.8436e+00
1.4397e+00,4.8336e+00
1.9743e+00,3.7178e+00
1.0484e+00,5.3586e+00
1.0049e+00,6.7215e+00
2.0039e+00,7.0342e+00
2.3514e+00,6.2579e+00
1.3323e+00,5.8583e+00
8.6489e-01,5.1754e+00
1.0294e+00,5.1675e+00
1.2391e+00,5.7473e+00
1.6109e+00,4.3490e+00
2.0101e+00,6.2001e+00
2.4068e+00,7.0391e+00
1.6645e+00,5.6866e+00
1.1895e+00,4.5594e+00
1.2216e+00,5.4964e+00
1.2778e+00,5.7311e+00
1.5211e+00,4.0361e+00
1.6010e+00,5.5041e+00
1.9226e+00,5.9735e+00
1.8821e+00,5.6093e+00
8.4964e-01,6.0715e+00
1.7660e+00,4.7518e+00
1.5296e+00,6.3117e+00
1.7110e+00,5.9289e+00
1.2689e+00,6.8092e+00
1.3408e+00,4.6611e+00
1.1310e+00,4.7635e+00
1.1247e+00,4.8984e+00
8.0856e-01,4.1042e+00
1.1171e+00,5.1774e+00
1.2472e+00,4.7915e+00
1.7976e+00,3.4514e+00
1.3780e+00,4.1659e+00
1.2110e+00,4.4224e+00
1.1728e+00,3.2821e+00
1.4431e+00,3.9014e+00
1.5193e+00,4.9609e+00
1.5471e+00,3.5836e+00
1.4052e+00,4.0839e+00
7.6563e-01,5.5251e+00
1.2245e+00,6.7020e+00
9.1872e-01,5.0757e+00
1.8721e+00,4.7249e+00
1.5734e+00,5.1700e+00
1.5920e+00,3.5697e+00
9.6159e-01,5.3382e+00
2.1895e+00,6.8645e+00
1.2428e+00,3.7811e+00
7.5034e-01,4.5971e+00
1.2025e+00,3.6274e+00
1.1399e+00,3.6030e+00
6.0164e-01,4.1039e+00
8.4474e-01,4.3603e+00
1.6375e+00,3.0972e+00
1.1386e+00,3.6772e+00
1.0479e+00,3.2351e+00
1.0887e+00,3.9023e+00
1.1689e+00,5.2919e+00
1.1374e+00,4.4133e+00
1.7310e+00,2.7156e+00
1.4602e+00,3.6534e+00
5.5301e-01,5.0411e+00
4.0533e-01,4.7499e+00
7.1689e-01,3.9862e+00
6.6939e-01,3.4967e+00
7.8067e-01,2.3177e+00
8.5878e-01,2.3420e+00
8.1370e-01,4.5204e+00
7.2402e-01,5.6449e+00
1.0206e+00,2.6840e+00
9.4261e-01,3.6476e+00
7.1654e-01,2.9763e+00
9.6831e-01,2.6581e+00
1.2524e+00,2.4626e+00
1.0571e+00,2.5122e+00
9.6790e-01,2.6546e+00
1.2558e+00,3.4919e+00
1.0689e+00,2.5711e+00
1.8742e-01,5.3622e+00
8.2306e-01,2.8709e+00
9.6078e-01,3.5527e+00
7.0778e-01,2.6008e+00
9.5587e-01,3.0190e+00
1.7435e+00,3.8512e+00
1.3827e+00,2.9047e+00
1.0248e+00,2.9099e+00
9.7008e-01,3.2654e+00
1.5417e+00,3.1509e+00
7.2703e-01,3.8404e+00
1.0478e+00,2.6115e+00
1.3614e+00,3.5641e+00
5.6829e-01,3.4201e+00
7.4165e-01,3.7226e+00
1.1074e+00,2.5655e+00
1.2671e+00,2.0977e+00
1.2522e+00,2.6441e+00
1.5130e+00,2.4406e+00
8.8996e-01,2.7730e+00
6.7982e-01,2.7789e+00
6.5614e-01,3.5187e+00
9.0912e-01,2.2140e+00
1.0657e+00,1.3731e+00
1.0115e+00,2.3794e+00
1.1021e+00,2.3926e+00
8.3757e-01,3.8939e+00
1.2164e+00,2.7593e+00
1.9840e+00,2.0842e+00
7.3843e-01,2.5043e+00
7.5751e-01,2.5400e+00
1.0158e+00,2.3065e+00
9.0961e-01,2.0009e+00
8.7026e-01,2.4913e+00
5.6612e-01,3.0545e+00
6.7432e-01,2.5467e+00
8.1046e-01,2.6564e+00
1.3451e+00,1.5785e+00
2.0008e+00,2.6877e+00
1.2782e+00,2.4098e+00
1.3916e+00,2.6451e+00
1.2286e+00,2.3287e+00
4.3695e-01,2.3660e+00
5.2750e-01,1.9697e+00
6.5678e-01,1.8512e+00
7.7121e-01,1.8982e+00
1.0642e+00,2.4454e+00
8.9691e-01,1.8526e+00
9.9333e-01,2.4285e+00
6.6498e-01,1.9791e+00
1.1287e+00,1.5828e+00
8.8833e-01,2.1009e+00
8.3249e-01,2.7488e+00
1.1687e+00,2.2701e+00
9.7557e-01,2.1377e+00
8.6242e-01,2.5631e+00
1.1178e+00,1.8023e+00
9.6050e-01,1.8429e+00
1.0223e+00,2.2312e+00
1.1990e+00,2.5330e+00
9.5382e-01,1.8080e+00
7.8208e-01,2.1605e+00
1.0716e+00,2.1463e+00
6.8168e-01,1.6977e+00
2.0908e+00,2.1431e+00
9.8286e-01,1.6503e+00
6.1083e-01,2.1248e+00
8.1487e-01,2.5746e+00
1.1837e+00,2.2835e+00
8.8495e-01,2.8421e+00
9.6131e-01,2.2375e+00
1.1231e+00,2.1435e+00
1.3100e+00,1.4972e+00
9.0824e-01,1.9913e+00
9.4873e-01,2.0620e+00
9.6284e-01,1.7729e+00
1.0764e+00,1.5535e+00
9.2629e-01,2.2039e+00
1.0905e+00,2.2184e+00
1.3156e+00,2.0903e+00
1.2654e+00,1.6241e+00
1.3898e+00,2.3019e+00
