# GLoss,DLoss,KLDivergence,RevKLDivergence
1.2302e+00,1.5312e+00,1.7607e+00,5.1459e+00
1.7409e-02,5.2751e+00,9.8398e-01,1.6562e+00
6.4046e-02,4.5324e+00,6.9982e-01,7.9982e-01
1.7156e-01,3.6529e+00,2.4608e-01,4.9255e-01
7.7006e-02,4.0238e+00,2.3462e-01,3.0009e-01
6.9432e-02,5.1724e+00,1.7500e-01,1.6693e-01
1.5300e-01,4.5775e+00,2.1853e-01,2.7520e-01
2.4977e-01,4.1523e+00,1.9044e-01,2.1240e-01
1.8695e-01,4.2931e+00,1.3839e-01,2.2276e-01
3.2709e-01,3.8014e+00,1.8351e-01,1.9705e-01
3.7570e-01,3.4338e+00,2.2953e-01,2.9858e-01
3.5927e-01,3.8773e+00,1.4526e-01,2.0219e-01
5.6227e-01,3.3663e+00,1.7310e-01,2.8410e-01
4.2214e-01,3.0306e+00,1.5965e-01,2.6206e-01
4.2897e-01,3.0439e+00,2.1989e-01,3.2642e-01
4.2417e-01,2.8480e+00,2.0330e-01,3.1616e-01
3.9116e-01,2.8233e+00,2.2230e-01,3.6989e-01
4.4248e-01,2.3679e+00,1.7137e-01,2.1950e-01
5.8616e-01,2.5428e+00,2.0779e-01,2.6121e-01
5.6624e-01,2.7384e+00,1.7411e-01,2.1365e-01
5.5620e-01,2.6108e+00,2.0161e-01,2.7109e-01
6.5166e-01,2.4862e+00,2.1948e-01,2.4657e-01
6.2181e-01,2.4369e+00,1.8363e-01,2.5025e-01
5.6580e-01,2.6021e+00,2.4313e-01,3.0174e-01
5.9485e-01,2.2185e+00,1.5704e-01,1.7647e-01
6.1213e-01,2.2794e+00,1.9015e-01,2.3127e-01
5.8017e-01,2.4021e+00,1.8831e-01,2.3951e-01
5.8635e-01,2.4179e+00,1.4459e-01,1.9785e-01
6.2304e-01,2.5368e+00,2.0633e-01,2.3830e-01
6.0410e-01,2.3985e+00,1.4170e-01,1.6752e-01
5.7923e-01,2.5711e+00,2.4393e-01,3.5402e-01
6.1169e-01,2.4659e+00,1.5996e-01,1.8388e-01
5.6309e-01,2.6183e+00,1.6904e-01,2.1479e-01
5.4732e-01,2.4256e+00,1.8344e-01,2.5799e-01
5.7486e-01,2.6761e+00,1.8934e-01,2.1835e-01
5.6529e-01,2.2765e+00,2.1783e-01,2.7748e-01
6.1460e-01,2.5138e+00,2.2991e-01,3.0353e-01
5.6238e-01,2.7602e+00,2.0011e-01,2.4551e-01
5.0796e-01,2.4450e+00,2.2792e-01,2.8783e-01
4.6676e-01,2.6881e+00,2.2650e-01,3.0593e-01
5.0460e-01,2.6923e+00,1.7278e-01,2.3280e-01
5.4263e-01,2.5183e+00,2.5678e-01,3.0559e-01
5.1546e-01,2.9056e+00,2.0685e-01,2.6567e-01
4.9181e-01,2.4600e+00,1.6093e-01,1.8505e-01
6.2374e-01,2.6840e+00,2.0057e-01,2.3852e-01
5.7424e-01,2.7554e+00,1.5707e-01,2.0454e-01
4.8439e-01,2.8985e+00,1.6009e-01,2.2282e-01
5.4169e-01,2.7891e+00,1.5038e-01,1.5308e-01
5.3960e-01,2.7655e+00,1.5181e-01,1.7575e-01
5.4825e-01,2.4141e+00,1.6661e-01,2.1791e-01
5.1229e-01,2.7053e+00,2.1322e-01,2.7530e-01
4.3898e-01,3.2313e+00,2.7214e-01,3.7120e-01
4.7193e-01,2.9499e+00,1.9264e-01,2.4264e-01
5.3338e-01,2.8867e+00,2.5000e-01,3.2760e-01
5.0410e-01,2.9624e+00,3.0641e-01,4.5804e-01
4.2400e-01,3.6010e+00,2.3810e-01,3.5408e-01
5.3200e-01,2.6354e+00,2.4174e-01,3.1060e-01
4.7345e-01,3.0076e+00,2.9767e-01,5.0466e-01
4.2608e-01,2.8767e+00,2.6328e-01,3.7436e-01
5.4404e-01,3.0197e+00,2.4733e-01,3.1517e-01
4.4931e-01,2.6544e+00,2.8429e-01,3.8878e-01
5.5445e-01,3.1063e+00,2.1516e-01,2.6909e-01
5.5827e-01,2.7101e+00,2.6884e-01,3.3086e-01
5.6858e-01,2.7223e+00,3.1961e-01,3.7797e-01
