# GLoss,DLoss,RevKLDivergence,ModesCovered
1.3171e+00,1.3676e+00,8.0589e+00,1.0000e+01
2.5652e-02,8.3991e+00,6.4878e+00,1.0000e+01
4.2349e-02,5.0771e+00,3.4003e+00,1.0000e+01
3.9925e-01,2.8793e+00,3.0580e+00,1.0000e+01
2.0739e-01,3.1125e+00,2.3288e+00,1.0000e+01
3.3971e-01,2.7526e+00,2.1991e+00,1.0000e+01
2.6389e-01,3.3218e+00,2.2686e+00,1.0000e+01
7.1801e-01,2.5923e+00,2.6596e+00,1.0000e+01
4.4524e-01,3.4148e+00,2.3619e+00,1.0000e+01
4.5510e-01,2.6953e+00,2.3357e+00,1.0000e+01
4.4229e-01,3.5507e+00,2.4178e+00,1.0000e+01
6.3083e-01,2.7292e+00,2.2844e+00,1.0000e+01
5.7530e-01,2.6757e+00,2.1837e+00,1.0000e+01
9.6970e-01,3.4282e+00,2.1262e+00,1.0000e+01
7.8159e-01,2.6984e+00,1.9964e+00,1.0000e+01
9.6903e-01,2.8862e+00,1.8736e+00,1.0000e+01
4.4230e-01,3.8842e+00,2.4163e+00,1.0000e+01
7.3675e-01,2.4425e+00,1.8038e+00,1.0000e+01
8.3373e-01,2.4003e+00,2.5100e+00,1.0000e+01
1.1339e+00,2.4896e+00,2.2564e+00,1.0000e+01
8.4593e-01,2.9536e+00,2.2714e+00,1.0000e+01
9.3909e-01,2.8166e+00,1.9015e+00,1.0000e+01
8.5083e-01,3.7349e+00,2.3506e+00,1.0000e+01
1.3315e+00,2.1419e+00,1.7962e+00,1.0000e+01
9.6310e-01,3.2457e+00,2.7693e+00,1.0000e+01
6.6278e-01,3.4707e+00,1.6977e+00,1.0000e+01
9.4154e-01,3.6191e+00,2.3262e+00,1.0000e+01
5.4874e-01,3.3322e+00,1.7451e+00,1.0000e+01
1.2588e+00,2.2098e+00,2.0777e+00,1.0000e+01
1.0416e+00,2.0360e+00,1.8769e+00,1.0000e+01
9.2818e-01,2.4290e+00,1.9918e+00,1.0000e+01
1.2070e+00,2.1426e+00,2.0458e+00,1.0000e+01
9.0426e-01,4.2331e+00,2.3978e+00,1.0000e+01
1.0626e+00,3.0374e+00,1.6473e+00,1.0000e+01
7.1592e-01,2.6272e+00,1.9587e+00,1.0000e+01
9.2026e-01,2.7021e+00,2.0197e+00,1.0000e+01
1.5928e+00,2.2575e+00,2.1671e+00,1.0000e+01
9.9955e-01,2.5163e+00,1.9151e+00,1.0000e+01
9.4396e-01,2.4690e+00,2.4963e+00,1.0000e+01
9.6451e-01,1.9629e+00,2.0315e+00,1.0000e+01
1.1816e+00,3.0583e+00,1.7987e+00,1.0000e+01
7.3626e-01,2.8838e+00,1.8580e+00,1.0000e+01
8.8409e-01,2.0810e+00,2.0361e+00,1.0000e+01
9.3235e-01,2.5380e+00,2.0780e+00,1.0000e+01
9.9463e-01,2.7245e+00,2.4101e+00,1.0000e+01
1.1168e+00,2.1095e+00,1.7507e+00,1.0000e+01
6.8473e-01,2.8645e+00,2.2696e+00,1.0000e+01
9.5944e-01,1.9598e+00,2.0468e+00,1.0000e+01
8.7814e-01,2.1077e+00,1.8157e+00,1.0000e+01
1.0402e+00,1.7613e+00,1.9567e+00,1.0000e+01
9.6655e-01,2.3270e+00,2.5025e+00,1.0000e+01
1.1494e+00,2.0845e+00,2.3385e+00,1.0000e+01
1.0202e+00,2.2416e+00,1.4674e+00,1.0000e+01
9.9712e-01,2.0971e+00,1.9313e+00,1.0000e+01
8.8989e-01,1.9914e+00,1.6301e+00,1.0000e+01
9.7880e-01,1.5681e+00,1.5200e+00,1.0000e+01
8.8567e-01,2.1775e+00,1.2100e+00,1.0000e+01
9.4281e-01,1.9071e+00,1.6399e+00,1.0000e+01
1.0916e+00,1.9227e+00,1.6242e+00,1.0000e+01
1.3741e+00,1.4619e+00,2.0671e+00,1.0000e+01
9.2769e-01,1.9102e+00,1.3602e+00,1.0000e+01
1.2055e+00,1.4099e+00,1.9693e+00,1.0000e+01
1.2110e+00,1.5582e+00,1.2756e+00,1.0000e+01
1.1924e+00,1.4712e+00,1.5148e+00,1.0000e+01
9.8352e-01,1.4194e+00,2.0385e+00,1.0000e+01
