# GLoss,DLoss,RevKLDivergence,ModesCovered
1.4392e+00,1.8815e+00,8.0103e+00,1.0000e+01
7.3726e-03,8.2819e+00,4.2974e+00,1.0000e+01
2.0507e-01,5.3124e+00,2.8159e+00,1.0000e+01
2.0098e-01,6.4442e+00,3.3283e+00,1.0000e+01
1.0738e-01,6.3042e+00,3.2781e+00,1.0000e+01
5.6767e-01,3.3289e+00,2.8491e+00,1.0000e+01
3.0851e-01,4.5849e+00,3.2195e+00,1.0000e+01
7.7829e-01,4.3853e+00,2.5276e+00,1.0000e+01
2.6922e-01,3.3996e+00,2.4860e+00,1.0000e+01
4.4454e-01,5.7044e+00,3.7133e+00,1.0000e+01
4.1836e-01,4.0179e+00,2.5784e+00,1.0000e+01
4.3830e-01,4.1013e+00,2.4060e+00,1.0000e+01
5.3593e-01,6.7380e+00,2.0673e+00,1.0000e+01
4.6324e-01,5.0455e+00,2.6130e+00,1.0000e+01
1.0033e+00,4.6696e+00,2.8260e+00,1.0000e+01
6.0105e-01,5.4152e+00,2.5589e+00,1.0000e+01
6.9676e-01,4.6138e+00,2.2491e+00,1.0000e+01
7.5329e-01,5.5731e+00,2.1150e+00,1.0000e+01
8.5919e-01,6.3778e+00,2.2046e+00,1.0000e+01
5.7407e-01,6.1681e+00,2.6281e+00,1.0000e+01
7.5290e-01,4.5598e+00,2.1384e+00,1.0000e+01
2.2737e+00,3.0207e+00,2.0979e+00,1.0000e+01
4.7804e-01,4.5577e+00,2.2214e+00,1.0000e+01
1.2523e+00,3.4528e+00,2.3363e+00,1.0000e+01
2.0912e+00,3.3056e+00,2.3747e+00,1.0000e+01
9.0846e-01,6.2022e+00,2.7211e+00,1.0000e+01
9.5563e-01,7.1700e+00,2.1138e+00,1.0000e+01
5.5918e-01,6.9670e+00,2.2942e+00,1.0000e+01
1.6239e+00,6.2075e+00,2.6662e+00,1.0000e+01
2.1884e+00,7.8708e+00,2.0296e+00,1.0000e+01
8.5786e-01,7.7536e+00,2.6161e+00,1.0000e+01
1.2930e+00,6.2510e+00,2.4559e+00,1.0000e+01
1.0103e+00,6.4604e+00,1.9649e+00,1.0000e+01
1.6749e+00,6.9082e+00,2.1285e+00,1.0000e+01
1.1511e+00,4.7659e+00,2.1023e+00,1.0000e+01
7.5759e-01,4.9590e+00,1.9994e+00,1.0000e+01
2.3308e+00,4.4750e+00,1.9588e+00,1.0000e+01
1.2456e+00,4.0965e+00,1.9888e+00,1.0000e+01
1.7759e+00,5.1364e+00,1.5120e+00,1.0000e+01
7.2485e-01,6.1077e+00,2.3609e+00,1.0000e+01
1.4226e+00,9.2311e+00,1.7040e+00,1.0000e+01
1.0991e+00,4.1053e+00,1.8587e+00,1.0000e+01
1.6835e+00,5.0585e+00,1.9026e+00,1.0000e+01
1.2654e+00,6.0247e+00,2.0195e+00,1.0000e+01
9.6390e-01,5.2228e+00,1.4262e+00,1.0000e+01
9.7857e-01,3.9977e+00,1.6935e+00,1.0000e+01
1.2655e+00,4.9904e+00,1.4321e+00,1.0000e+01
2.3256e+00,3.7326e+00,1.5738e+00,1.0000e+01
1.8158e+00,3.5504e+00,1.3449e+00,1.0000e+01
1.5935e+00,4.4132e+00,1.9282e+00,1.0000e+01
1.7619e+00,5.0559e+00,1.7478e+00,1.0000e+01
1.3439e+00,6.5433e+00,2.0937e+00,1.0000e+01
1.5350e+00,6.4192e+00,2.2243e+00,1.0000e+01
1.2190e+00,3.3985e+00,1.3036e+00,1.0000e+01
1.7064e+00,2.9243e+00,1.4978e+00,1.0000e+01
1.4140e+00,3.2090e+00,1.4042e+00,1.0000e+01
1.0577e+00,3.2024e+00,1.4204e+00,1.0000e+01
1.2443e+00,4.4966e+00,1.7664e+00,1.0000e+01
1.4771e+00,2.7033e+00,1.1873e+00,1.0000e+01
1.5580e+00,2.2915e+00,1.5017e+00,1.0000e+01
1.2772e+00,3.0291e+00,1.9227e+00,1.0000e+01
1.2837e+00,2.9455e+00,2.1852e+00,1.0000e+01
1.4331e+00,2.2540e+00,9.5031e-01,1.0000e+01
1.5875e+00,3.0671e+00,1.2510e+00,1.0000e+01
1.1404e+00,3.2438e+00,1.0246e+00,1.0000e+01
1.1657e+00,3.2263e+00,7.4846e-01,1.0000e+01
8.4359e-01,4.9395e+00,1.7255e+00,1.0000e+01
9.5322e-01,4.3724e+00,1.3779e+00,1.0000e+01
1.2448e+00,6.1359e+00,1.2742e+00,1.0000e+01
1.0999e+00,3.2581e+00,9.1034e-01,1.0000e+01
1.4307e+00,3.4892e+00,9.3978e-01,1.0000e+01
1.4472e+00,5.1968e+00,1.0951e+00,1.0000e+01
2.0816e+00,3.1769e+00,1.8097e+00,1.0000e+01
1.0060e+00,3.1218e+00,1.1903e+00,1.0000e+01
1.0859e+00,2.5438e+00,1.0880e+00,1.0000e+01
1.2079e+00,3.2288e+00,8.0438e-01,1.0000e+01
9.1271e-01,2.7114e+00,7.7334e-01,1.0000e+01
1.1374e+00,3.6904e+00,1.4828e+00,1.0000e+01
1.6636e+00,2.8636e+00,1.0776e+00,1.0000e+01
1.1098e+00,4.0127e+00,1.1160e+00,1.0000e+01
1.2480e+00,3.0971e+00,9.1816e-01,1.0000e+01
8.7265e-01,1.9038e+00,1.1506e+00,1.0000e+01
1.3998e+00,1.8294e+00,1.0264e+00,1.0000e+01
8.8319e-01,2.2940e+00,9.8922e-01,1.0000e+01
1.0095e+00,2.2456e+00,1.9550e+00,1.0000e+01
8.6204e-01,1.9879e+00,1.2190e+00,1.0000e+01
8.6715e-01,2.5292e+00,8.2716e-01,1.0000e+01
1.1459e+00,2.1051e+00,5.5483e-01,1.0000e+01
8.5969e-01,1.9876e+00,1.0225e+00,1.0000e+01
7.5756e-01,2.3388e+00,7.1291e-01,1.0000e+01
8.4820e-01,1.6632e+00,4.8571e-01,1.0000e+01
8.0801e-01,2.1771e+00,5.9708e-01,1.0000e+01
8.1004e-01,1.8774e+00,7.2449e-01,1.0000e+01
7.9299e-01,2.0187e+00,6.7256e-01,1.0000e+01
7.3988e-01,2.7470e+00,8.6843e-01,1.0000e+01
9.8043e-01,1.8049e+00,9.1256e-01,1.0000e+01
9.9762e-01,2.1326e+00,6.1822e-01,1.0000e+01
9.1514e-01,1.7877e+00,1.0993e+00,1.0000e+01
7.9411e-01,1.7711e+00,1.3765e+00,1.0000e+01
1.2435e+00,1.7396e+00,1.0585e+00,1.0000e+01
7.1989e-01,1.8357e+00,1.5472e+00,1.0000e+01
8.3713e-01,2.2232e+00,1.5001e+00,1.0000e+01
6.8162e-01,2.0158e+00,1.3042e+00,1.0000e+01
9.7779e-01,2.1169e+00,1.4581e+00,1.0000e+01
1.0654e+00,1.6881e+00,1.3157e+00,1.0000e+01
8.9776e-01,2.0760e+00,1.3107e+00,1.0000e+01
8.3189e-01,2.1315e+00,8.8322e-01,1.0000e+01
9.6619e-01,2.0849e+00,1.4415e+00,1.0000e+01
6.6782e-01,2.0827e+00,1.2935e+00,1.0000e+01
8.6599e-01,2.0747e+00,1.5796e+00,1.0000e+01
6.7837e-01,1.9416e+00,1.2574e+00,1.0000e+01
8.1633e-01,2.1841e+00,1.2320e+00,1.0000e+01
9.4275e-01,1.6503e+00,1.0938e+00,1.0000e+01
9.7287e-01,1.8014e+00,1.2979e+00,1.0000e+01
8.1068e-01,2.0963e+00,8.5689e-01,1.0000e+01
9.0125e-01,1.4021e+00,1.5462e+00,1.0000e+01
1.1325e+00,1.2361e+00,1.2461e+00,1.0000e+01
