# GLoss,DLoss
1.5156e+00,1.3149e+00
1.8211e-03,7.0062e+00
1.5437e-02,5.7250e+00
3.5915e-02,6.8199e+00
9.5858e-02,7.5992e+00
3.9393e-02,8.6704e+00
1.9271e-02,7.4909e+00
1.0162e-01,6.6222e+00
9.0561e-02,8.6281e+00
6.1463e-01,7.4259e+00
3.3215e-01,7.6912e+00
4.0733e-01,9.3167e+00
3.7922e-01,9.2884e+00
2.3697e-01,6.6725e+00
6.1810e-01,7.6475e+00
2.6897e-01,8.1214e+00
5.9943e-01,6.4361e+00
7.4330e-01,9.7593e+00
2.9325e-01,9.0533e+00
3.2965e-01,7.6294e+00
3.8649e-01,1.1254e+01
3.3262e-01,6.5685e+00
4.0987e-01,6.1827e+00
1.0384e+00,1.3705e+01
4.5418e-01,1.1400e+01
4.9862e-01,8.6087e+00
1.0119e+00,9.6146e+00
6.9994e-01,9.5198e+00
8.4358e-01,1.9791e+01
7.0145e-01,8.1925e+00
7.5194e-01,1.4191e+01
7.7918e-01,9.6174e+00
9.4462e-01,1.1700e+01
1.1237e+00,6.8736e+00
1.4658e+00,7.9030e+00
4.9238e-01,1.2005e+01
2.2249e+00,8.8087e+00
9.6907e-01,1.0535e+01
1.2673e+00,1.3370e+01
1.1925e+00,8.7452e+00
1.7198e+00,1.0529e+01
1.5833e+00,9.7873e+00
1.3995e+00,1.5439e+01
1.5394e+00,1.7571e+01
8.3531e-01,1.6443e+01
1.3945e+00,8.3767e+00
1.9284e+00,9.8443e+00
2.2956e+00,1.2711e+01
2.7824e+00,1.3974e+01
1.4430e+00,1.3218e+01
1.4703e+00,1.0854e+01
1.2405e+00,1.1570e+01
1.8228e+00,8.7336e+00
1.5737e+00,9.7004e+00
3.4361e+00,1.2261e+01
2.2106e+00,1.1697e+01
2.4430e+00,1.0131e+01
1.3156e+00,1.3066e+01
1.4744e+00,1.0343e+01
8.3386e-01,9.8804e+00
1.5488e+00,1.0856e+01
1.7611e+00,1.4478e+01
1.2749e+00,9.6610e+00
2.3433e+00,8.8877e+00
3.0629e+00,9.3643e+00
2.8288e+00,1.3557e+01
2.8965e+00,7.1530e+00
3.3725e+00,1.2581e+01
3.2680e+00,8.1322e+00
4.5168e+00,9.6836e+00
2.9723e+00,1.3801e+01
1.9105e+00,1.2933e+01
1.4375e+00,1.4781e+01
1.5067e+00,1.1181e+01
8.2020e-01,8.1915e+00
3.0065e+00,1.6749e+01
2.3871e+00,1.0745e+01
1.5653e+00,9.6695e+00
2.1324e+00,6.7785e+00
3.0170e+00,1.1105e+01
2.5574e+00,1.0076e+01
