# GLoss,DLoss,RevKLDivergence,ModesCovered
1.5174e+00,1.0512e+00,8.0530e+00,1.0000e+01
5.2134e-02,3.8669e+00,3.4769e+00,1.0000e+01
4.9126e-02,4.7789e+00,3.1383e+00,1.0000e+01
3.6207e-02,5.5934e+00,4.0519e+00,1.0000e+01
7.5504e-02,4.6542e+00,3.6478e+00,1.0000e+01
6.9763e-02,4.9142e+00,3.3355e+00,1.0000e+01
7.0731e-02,4.8957e+00,3.5684e+00,1.0000e+01
1.9399e-01,6.0255e+00,3.2839e+00,1.0000e+01
1.3210e-01,5.5276e+00,2.5357e+00,1.0000e+01
2.7070e-01,5.8019e+00,3.2427e+00,1.0000e+01
4.7864e-01,7.5089e+00,3.1231e+00,1.0000e+01
3.1763e-01,7.6553e+00,3.0078e+00,1.0000e+01
2.4178e-01,5.9049e+00,3.2806e+00,1.0000e+01
4.9548e-01,5.9463e+00,2.7224e+00,1.0000e+01
4.1601e-01,7.2772e+00,3.2319e+00,1.0000e+01
3.5357e-01,5.2856e+00,2.8269e+00,1.0000e+01
4.5080e-01,5.9653e+00,2.0624e+00,1.0000e+01
4.6860e-01,6.6557e+00,2.6157e+00,1.0000e+01
6.3342e-01,5.6452e+00,2.8396e+00,1.0000e+01
8.3939e-01,5.9868e+00,3.2555e+00,1.0000e+01
1.3669e+00,4.9745e+00,2.9390e+00,1.0000e+01
6.6174e-01,8.6558e+00,2.8159e+00,1.0000e+01
8.7848e-01,6.4945e+00,3.6775e+00,1.0000e+01
7.9718e-01,9.1540e+00,3.7577e+00,1.0000e+01
6.6438e-01,8.1354e+00,3.6854e+00,1.0000e+01
