# GLoss,DLoss,RevKLDivergence,ModesCovered
1.4373e+00,1.3323e+00,8.0514e+00,1.0000e+01
1.0748e-01,4.1645e+00,4.9207e+00,1.0000e+01
2.5336e-01,2.9371e+00,3.4586e+00,1.0000e+01
2.8390e-01,3.9823e+00,3.1927e+00,1.0000e+01
6.8766e-01,2.1938e+00,1.7476e+00,1.0000e+01
8.9366e-01,2.1597e+00,1.7519e+00,1.0000e+01
1.1173e+00,2.1852e+00,2.4501e+00,1.0000e+01
6.1523e-01,2.8007e+00,2.4705e+00,1.0000e+01
7.2367e-01,2.4391e+00,3.2602e+00,1.0000e+01
4.2319e-01,2.2679e+00,2.4897e+00,1.0000e+01
6.9787e-01,2.0723e+00,2.5116e+00,1.0000e+01
6.9253e-01,2.3265e+00,2.7721e+00,1.0000e+01
6.0282e-01,2.4550e+00,2.5391e+00,1.0000e+01
1.0613e+00,1.9448e+00,2.3455e+00,1.0000e+01
9.4462e-01,1.8127e+00,2.4192e+00,1.0000e+01
7.1383e-01,2.5172e+00,2.2358e+00,1.0000e+01
7.1633e-01,2.3109e+00,2.2720e+00,1.0000e+01
9.8700e-01,1.5109e+00,2.2240e+00,1.0000e+01
9.6821e-01,1.8354e+00,2.2208e+00,1.0000e+01
8.7220e-01,1.7690e+00,2.1254e+00,1.0000e+01
8.1201e-01,1.7621e+00,1.9683e+00,1.0000e+01
1.2571e+00,1.3992e+00,2.1489e+00,1.0000e+01
1.0935e+00,1.5472e+00,2.0010e+00,1.0000e+01
9.5324e-01,2.0172e+00,1.6846e+00,1.0000e+01
7.3466e-01,1.6002e+00,2.2141e+00,1.0000e+01
8.3976e-01,1.6497e+00,1.8004e+00,1.0000e+01
1.0239e+00,1.6555e+00,1.6037e+00,1.0000e+01
9.6639e-01,1.9108e+00,1.6273e+00,1.0000e+01
9.9008e-01,1.6717e+00,1.2253e+00,1.0000e+01
6.9423e-01,2.0429e+00,1.5037e+00,1.0000e+01
9.0067e-01,1.9404e+00,1.3854e+00,1.0000e+01
6.2197e-01,2.1703e+00,1.0253e+00,1.0000e+01
1.0878e+00,1.6167e+00,1.4026e+00,1.0000e+01
6.5472e-01,1.9819e+00,1.0589e+00,1.0000e+01
9.4289e-01,1.5268e+00,1.0213e+00,1.0000e+01
7.6771e-01,1.7088e+00,1.4461e+00,1.0000e+01
9.3697e-01,2.1404e+00,1.3103e+00,1.0000e+01
8.4495e-01,1.6553e+00,1.9480e+00,1.0000e+01
8.4868e-01,2.2496e+00,1.4326e+00,1.0000e+01
7.0010e-01,2.2694e+00,1.3472e+00,1.0000e+01
1.0712e+00,1.6277e+00,2.2437e+00,1.0000e+01
9.2679e-01,1.7903e+00,1.8503e+00,1.0000e+01
8.7660e-01,1.5816e+00,1.6585e+00,1.0000e+01
7.8261e-01,1.8950e+00,2.0241e+00,1.0000e+01
9.5595e-01,1.4232e+00,1.4021e+00,1.0000e+01
8.5050e-01,1.7684e+00,2.0632e+00,1.0000e+01
1.1241e+00,1.9002e+00,1.5453e+00,1.0000e+01
8.4720e-01,1.3449e+00,1.4604e+00,1.0000e+01
