# GLoss,DLoss,KLDivergence,RevKLDivergence
1.4754e+00,2.2646e+00,1.4258e+00,4.2697e+00
1.4306e-02,1.0862e+01,8.0353e-01,1.8877e+00
6.1341e-03,7.3926e+00,5.8123e-01,7.3516e-01
8.7734e-02,5.7872e+00,1.4850e-01,1.7065e-01
2.4646e-01,4.8080e+00,2.4685e-01,4.6710e-01
1.7889e-01,5.2554e+00,1.8383e-01,2.8021e-01
3.5910e-01,3.9088e+00,2.3894e-01,3.6237e-01
6.1153e-01,2.9841e+00,3.8921e-01,4.5979e-01
3.5448e-01,3.8169e+00,3.4280e-01,3.8095e-01
5.1563e-01,2.6837e+00,3.2802e-01,3.8511e-01
5.9365e-01,2.6494e+00,3.4457e-01,4.5627e-01
5.9970e-01,3.1244e+00,3.1069e-01,3.4049e-01
4.9421e-01,2.9224e+00,2.3711e-01,2.3891e-01
9.1467e-01,2.4445e+00,2.8210e-01,3.5399e-01
6.9508e-01,2.3327e+00,3.7143e-01,3.4506e-01
7.5100e-01,2.1098e+00,4.2520e-01,5.4488e-01
7.9510e-01,1.9280e+00,2.3859e-01,2.2687e-01
7.1625e-01,2.3729e+00,2.1198e-01,2.1713e-01
7.0479e-01,2.0310e+00,1.3061e-01,1.2690e-01
6.8670e-01,1.9760e+00,2.1916e-01,2.7639e-01
6.5368e-01,2.3787e+00,1.2465e-01,1.3247e-01
6.5614e-01,1.8421e+00,2.0735e-01,2.2386e-01
7.1136e-01,1.7941e+00,2.3743e-01,2.2739e-01
8.6503e-01,1.9145e+00,1.7129e-01,2.1122e-01
7.0572e-01,2.3278e+00,1.6209e-01,1.5800e-01
6.6877e-01,2.1996e+00,1.0328e-01,1.0383e-01
8.8239e-01,1.7824e+00,1.1136e-01,1.1146e-01
7.1278e-01,1.7435e+00,8.4329e-02,8.5476e-02
8.7837e-01,2.2170e+00,1.3018e-01,1.4034e-01
7.4582e-01,2.0883e+00,6.5300e-02,6.5337e-02
6.3476e-01,2.0177e+00,1.1129e-01,1.0580e-01
6.6413e-01,2.1594e+00,8.7686e-02,8.3469e-02
7.9464e-01,1.7118e+00,9.9011e-02,9.2183e-02
7.3674e-01,2.0730e+00,1.5310e-01,1.4547e-01
7.6460e-01,2.1758e+00,7.1531e-02,6.8071e-02
6.7115e-01,2.1299e+00,1.6096e-01,1.5067e-01
7.5305e-01,1.9536e+00,1.0324e-01,1.1744e-01
8.0253e-01,2.2507e+00,9.9215e-02,9.3428e-02
6.9993e-01,2.3749e+00,1.2342e-01,1.1952e-01
7.6507e-01,2.0978e+00,1.8179e-01,1.8110e-01
6.6268e-01,2.2347e+00,1.2769e-01,1.4002e-01
7.5236e-01,2.2300e+00,1.9075e-01,1.9152e-01
8.0294e-01,2.0485e+00,1.1834e-01,1.2649e-01
6.9559e-01,2.1101e+00,2.2429e-01,2.4782e-01
6.9619e-01,2.3901e+00,1.7214e-01,1.5617e-01
7.8362e-01,1.9784e+00,1.3264e-01,1.3029e-01
7.3497e-01,2.1685e+00,1.9849e-01,2.1526e-01
5.9213e-01,2.0530e+00,1.8993e-01,1.9194e-01
6.8386e-01,2.1185e+00,2.2698e-01,2.2256e-01
7.2486e-01,2.1102e+00,3.2111e-01,3.6776e-01
6.9577e-01,2.1092e+00,2.8978e-01,3.1535e-01
6.2791e-01,1.8726e+00,3.3862e-01,3.5136e-01
5.5989e-01,2.2158e+00,2.9303e-01,2.9288e-01
7.3273e-01,2.1448e+00,3.5145e-01,3.9297e-01
6.2333e-01,2.2854e+00,3.5599e-01,3.8275e-01
6.2662e-01,1.9992e+00,3.2184e-01,3.6447e-01
6.1114e-01,2.2952e+00,3.5444e-01,3.8836e-01
5.8394e-01,2.3738e+00,2.9402e-01,3.6810e-01
6.9581e-01,2.0684e+00,4.8615e-01,6.0517e-01
6.4977e-01,2.3771e+00,3.2826e-01,3.8465e-01
7.4178e-01,2.0428e+00,3.9813e-01,4.8725e-01
7.2360e-01,2.4455e+00,3.8580e-01,4.1714e-01
7.0913e-01,2.3056e+00,4.5205e-01,6.0810e-01
5.2425e-01,2.1005e+00,4.8116e-01,5.7578e-01
6.0802e-01,2.1436e+00,4.6302e-01,6.7677e-01
