# GLoss,DLoss,KLDivergence,RevKLDivergence
1.8826e+00,7.5501e-01,1.0856e+00,3.9146e+00
3.3652e-02,8.6418e+00,9.4372e-01,1.4135e+00
1.6605e-02,7.1782e+00,1.0920e+00,1.3813e+00
1.9228e-02,8.0475e+00,9.9328e-01,1.1051e+00
1.8560e-02,6.3511e+00,4.3635e-01,4.5855e-01
4.7559e-02,6.4266e+00,7.4132e-01,1.0281e+00
2.3810e-01,5.0584e+00,2.2428e-01,4.3497e-01
1.4537e-01,4.3132e+00,1.2317e-01,1.5462e-01
3.7009e-01,3.3922e+00,1.3437e-01,1.5256e-01
3.9218e-01,3.5610e+00,7.9150e-02,1.1943e-01
6.0865e-01,2.9062e+00,1.4496e-01,1.6335e-01
6.8783e-01,2.6170e+00,1.8484e-01,1.8045e-01
8.0439e-01,2.1481e+00,1.4401e-01,1.3289e-01
8.9286e-01,1.9690e+00,9.2701e-02,8.8019e-02
9.3647e-01,1.8345e+00,9.7523e-02,1.0669e-01
9.5807e-01,1.6977e+00,1.1462e-01,1.1196e-01
9.8901e-01,1.5799e+00,7.6263e-02,8.7695e-02
9.5851e-01,1.3191e+00,1.2420e-01,1.4330e-01
9.9981e-01,1.4296e+00,1.2970e-01,1.6456e-01
1.0519e+00,1.3755e+00,1.1433e-01,1.2381e-01
1.0695e+00,1.2366e+00,1.5547e-01,1.8483e-01
1.0045e+00,1.4070e+00,7.3963e-02,8.6346e-02
1.0564e+00,1.1840e+00,1.2571e-01,1.5272e-01
1.1370e+00,1.2088e+00,1.1437e-01,1.1657e-01
1.1827e+00,1.2435e+00,9.6332e-02,1.1495e-01
1.1621e+00,1.3060e+00,9.8142e-02,1.0789e-01
1.1240e+00,1.4678e+00,1.0607e-01,1.1721e-01
1.1042e+00,1.2615e+00,1.0889e-01,1.0402e-01
1.0850e+00,1.2804e+00,1.0848e-01,1.1018e-01
1.0763e+00,1.4456e+00,1.4978e-01,1.7099e-01
9.3925e-01,1.4221e+00,1.3223e-01,1.5505e-01
1.0244e+00,1.4530e+00,1.0548e-01,1.0335e-01
1.0492e+00,1.3351e+00,6.8787e-02,6.9227e-02
9.1362e-01,1.3871e+00,5.7436e-02,6.1017e-02
9.7915e-01,1.5313e+00,6.6252e-02,7.4072e-02
8.7570e-01,1.5213e+00,7.1924e-02,6.4972e-02
1.1147e+00,1.4163e+00,9.5411e-02,9.0290e-02
9.2562e-01,1.4821e+00,1.0923e-01,1.1180e-01
9.7345e-01,1.5298e+00,1.5109e-01,1.5421e-01
1.0138e+00,1.3460e+00,1.1329e-01,1.1446e-01
8.9118e-01,1.4710e+00,6.5277e-02,6.3965e-02
9.8597e-01,1.3737e+00,1.8264e-01,2.0845e-01
9.4107e-01,1.4638e+00,1.1249e-01,1.1115e-01
9.2357e-01,1.5494e+00,1.4493e-01,1.3228e-01
9.6501e-01,1.3879e+00,9.0891e-02,9.1904e-02
8.8724e-01,1.6825e+00,9.8231e-02,1.0642e-01
9.6065e-01,1.7380e+00,1.1324e-01,1.2525e-01
8.8475e-01,1.6574e+00,7.1573e-02,6.7014e-02
8.0075e-01,1.8995e+00,1.1083e-01,1.1544e-01
8.7432e-01,1.5857e+00,6.2243e-02,6.0897e-02
8.9616e-01,1.6404e+00,7.5627e-02,7.3337e-02
1.0111e+00,1.8084e+00,1.6132e-01,1.5678e-01
8.2263e-01,1.6908e+00,9.8308e-02,9.3441e-02
7.5491e-01,1.8604e+00,1.4275e-01,1.3467e-01
8.2068e-01,1.5841e+00,1.3038e-01,1.1750e-01
8.9213e-01,1.6328e+00,1.1274e-01,1.0948e-01
8.5683e-01,1.8345e+00,1.5556e-01,1.4621e-01
9.3653e-01,1.7584e+00,1.5932e-01,1.5753e-01
8.9137e-01,1.5994e+00,1.6350e-01,1.7696e-01
7.6104e-01,1.6240e+00,1.7733e-01,1.8830e-01
7.3930e-01,1.4792e+00,1.3406e-01,1.3315e-01
8.2108e-01,1.8947e+00,1.7549e-01,1.6441e-01
8.9500e-01,1.7971e+00,2.2724e-01,2.2587e-01
8.1339e-01,1.9401e+00,2.4528e-01,2.2484e-01
6.9013e-01,1.7159e+00,2.8634e-01,2.8089e-01
8.5477e-01,1.8044e+00,1.9598e-01,1.9498e-01
7.2227e-01,1.8293e+00,1.7557e-01,1.7417e-01
9.0299e-01,1.7913e+00,1.9553e-01,1.8204e-01
7.8484e-01,1.6274e+00,2.2978e-01,2.4402e-01
6.9813e-01,1.9087e+00,1.5906e-01,1.7724e-01
8.0885e-01,1.9679e+00,2.7498e-01,2.6740e-01
8.5842e-01,1.8846e+00,2.4162e-01,2.5359e-01
6.8056e-01,1.8784e+00,2.7856e-01,2.7913e-01
8.0842e-01,1.5735e+00,2.4699e-01,2.5900e-01
7.6719e-01,1.9693e+00,3.3019e-01,3.3616e-01
6.0742e-01,2.1186e+00,2.5474e-01,2.6076e-01
6.4017e-01,2.1633e+00,3.5154e-01,3.9044e-01
6.4096e-01,1.7933e+00,2.4884e-01,2.6526e-01
7.5310e-01,2.0679e+00,3.4784e-01,3.4247e-01
7.2811e-01,2.1024e+00,3.0940e-01,3.0928e-01
8.2240e-01,1.8888e+00,2.7985e-01,2.6935e-01
6.4940e-01,1.8821e+00,2.2047e-01,2.4176e-01
8.6276e-01,2.0881e+00,3.4000e-01,4.0564e-01
6.5239e-01,1.9864e+00,2.8998e-01,3.2582e-01
6.6195e-01,2.1811e+00,2.8474e-01,3.0428e-01
6.5409e-01,1.7087e+00,3.9586e-01,4.2364e-01
6.9140e-01,2.0536e+00,2.8249e-01,3.2429e-01
5.5143e-01,2.0325e+00,3.6213e-01,3.8193e-01
6.8924e-01,2.2817e+00,3.2768e-01,3.8385e-01
5.9100e-01,1.8891e+00,2.7932e-01,2.8911e-01
5.5215e-01,2.5723e+00,2.8958e-01,3.2003e-01
7.2623e-01,1.8543e+00,2.8923e-01,3.1981e-01
6.6146e-01,2.3204e+00,4.3740e-01,5.1344e-01
6.9572e-01,2.2754e+00,2.9047e-01,3.1525e-01
