# GLoss,DLoss,KLDivergence,RevKLDivergence
1.2116e+00,1.8335e+00,1.5186e+00,4.3048e+00
6.2915e-03,6.2903e+00,1.0893e+00,1.2816e+00
2.6384e-02,4.4924e+00,1.7173e+00,1.9554e+00
1.0537e-02,6.3830e+00,2.1947e+00,5.0278e+00
5.6803e-03,6.1240e+00,2.2211e+00,6.4510e+00
1.0160e-02,6.0752e+00,2.2997e+00,7.6492e+00
4.2989e-02,6.8470e+00,2.2995e+00,7.6128e+00
6.0086e-02,5.9048e+00,2.2984e+00,7.1683e+00
5.9330e-02,5.5841e+00,2.2847e+00,6.0188e+00
1.1083e-01,4.4361e+00,2.2877e+00,6.1750e+00
7.7457e-02,5.1797e+00,2.2877e+00,6.0832e+00
9.0006e-02,4.9039e+00,2.2986e+00,7.1638e+00
3.9316e-02,5.1729e+00,2.2994e+00,7.2656e+00
9.8428e-02,4.6863e+00,2.2996e+00,7.3957e+00
9.5757e-02,5.8635e+00,2.2486e+00,5.6004e+00
2.4275e-01,6.5635e+00,2.2729e+00,7.0992e+00
5.1870e-02,5.4111e+00,2.2923e+00,6.7511e+00
1.1281e-01,4.2975e+00,2.2630e+00,6.1730e+00
1.1550e-01,4.4786e+00,2.2998e+00,7.2713e+00
2.0084e-01,4.1437e+00,2.3008e+00,7.7466e+00
1.5742e-01,4.4686e+00,2.2617e+00,7.0755e+00
2.0471e-01,3.5054e+00,2.3015e+00,7.9338e+00
1.4441e-01,4.5297e+00,2.2937e+00,7.2661e+00
1.1533e-01,4.2804e+00,2.2964e+00,7.4470e+00
2.1983e-01,4.3423e+00,2.3012e+00,7.7892e+00
1.6001e-01,5.6896e+00,2.2986e+00,7.4270e+00
2.4151e-01,4.5494e+00,2.2202e+00,5.7963e+00
1.9140e-01,4.7839e+00,2.2609e+00,6.4153e+00
2.1645e-01,4.6321e+00,2.2881e+00,6.4722e+00
9.5184e-02,3.9802e+00,2.2377e+00,5.7472e+00
1.1483e-01,5.2375e+00,2.2193e+00,4.3698e+00
