# GLoss,DLoss
1.2874e+00,1.1387e+00
3.8378e-01,1.9586e+00
5.2436e-01,2.0480e+00
5.3923e-01,1.8567e+00
7.1883e-01,1.4372e+00
6.9802e-01,1.4912e+00
7.9400e-01,1.2759e+00
8.2323e-01,1.2549e+00
9.6902e-01,1.2630e+00
7.9612e-01,1.2538e+00
8.9446e-01,1.2425e+00
9.5663e-01,1.2097e+00
9.8467e-01,1.1700e+00
9.5085e-01,1.1538e+00
8.6146e-01,1.3263e+00
1.2658e+00,9.5624e-01
1.0728e+00,1.2043e+00
9.1409e-01,1.2325e+00
1.1043e+00,1.3090e+00
1.0305e+00,1.1136e+00
1.2643e+00,1.0447e+00
1.1772e+00,1.0039e+00
1.0046e+00,1.1441e+00
1.1673e+00,9.7622e-01
8.9905e-01,1.2583e+00
1.1611e+00,9.8940e-01
9.2107e-01,1.2259e+00
1.1931e+00,1.0812e+00
1.2444e+00,1.0209e+00
1.2905e+00,8.9541e-01
1.1943e+00,8.9535e-01
1.3026e+00,8.2447e-01
1.3448e+00,8.4292e-01
1.1861e+00,1.0785e+00
1.1546e+00,9.7077e-01
1.2401e+00,9.7834e-01
1.0826e+00,1.1195e+00
1.3732e+00,8.8392e-01
1.2573e+00,9.8575e-01
1.3088e+00,1.0090e+00
1.1221e+00,9.9780e-01
1.1285e+00,1.0122e+00
1.1397e+00,9.9012e-01
1.0725e+00,1.0228e+00
1.1924e+00,1.0113e+00
1.0824e+00,1.1231e+00
1.3168e+00,8.5465e-01
1.3521e+00,8.7699e-01
1.2934e+00,8.6985e-01
1.1912e+00,1.0241e+00
1.3430e+00,9.7247e-01
1.2203e+00,9.6621e-01
1.2345e+00,8.3177e-01
1.3607e+00,9.0070e-01
1.3454e+00,8.3869e-01
1.2566e+00,8.1457e-01
1.2781e+00,9.5613e-01
1.1479e+00,9.2707e-01
1.3474e+00,8.5079e-01
1.5498e+00,9.1784e-01
1.3822e+00,9.4421e-01
1.4148e+00,7.8865e-01
1.3800e+00,7.6386e-01
1.4923e+00,7.6442e-01
1.2123e+00,9.8625e-01
1.2515e+00,9.1551e-01
1.5095e+00,7.0707e-01
1.4484e+00,7.4281e-01
1.4155e+00,7.9806e-01
1.3172e+00,7.8327e-01
1.3079e+00,8.1392e-01
1.3679e+00,7.8018e-01
1.4026e+00,7.5082e-01
1.3897e+00,7.6204e-01
1.3171e+00,8.4264e-01
1.3446e+00,7.4806e-01
1.4028e+00,8.1371e-01
1.3098e+00,8.5850e-01
1.3817e+00,8.2779e-01
1.3092e+00,7.5960e-01
1.3388e+00,8.1310e-01
1.4224e+00,7.9198e-01
1.4010e+00,7.4368e-01
1.3334e+00,7.9326e-01
1.3064e+00,8.7821e-01
1.3557e+00,7.9096e-01
1.3518e+00,8.4663e-01
1.2488e+00,8.3990e-01
1.3789e+00,7.7499e-01
1.3663e+00,7.8329e-01
1.3443e+00,7.7095e-01
1.3734e+00,8.0543e-01
1.3537e+00,7.5994e-01
1.4072e+00,7.6059e-01
1.2614e+00,8.4144e-01
1.3528e+00,7.7697e-01
1.3739e+00,8.0637e-01
1.3114e+00,7.5828e-01
1.3279e+00,7.6921e-01
1.3118e+00,7.5434e-01
1.3488e+00,7.6225e-01
1.3197e+00,7.0430e-01
1.3913e+00,7.1303e-01
1.3726e+00,7.3441e-01
1.3857e+00,7.3145e-01
1.3651e+00,7.7556e-01
1.3383e+00,7.6986e-01
1.3493e+00,7.8305e-01
1.3151e+00,7.5704e-01
1.3481e+00,7.3563e-01
1.2852e+00,7.8356e-01
1.3661e+00,8.0028e-01
