# GLoss,DLoss,RevKLDivergence,ModesCovered
1.2614e+00,1.9711e+00,7.8510e+00,1.0000e+01
1.8751e-01,5.8153e+00,2.7535e+00,1.0000e+01
2.0387e-01,5.0080e+00,2.8159e+00,1.0000e+01
4.6620e-01,4.8610e+00,2.0184e+00,1.0000e+01
1.9932e-01,5.1419e+00,3.2906e+00,1.0000e+01
9.8619e-01,5.2065e+00,3.1496e+00,1.0000e+01
7.1049e-01,4.7429e+00,2.6468e+00,1.0000e+01
9.1579e-01,3.3015e+00,2.9437e+00,1.0000e+01
9.2055e-01,3.1580e+00,2.6670e+00,1.0000e+01
7.2789e-01,4.2889e+00,2.1324e+00,1.0000e+01
5.2762e-01,3.8704e+00,2.2411e+00,1.0000e+01
5.8235e-01,4.0144e+00,2.1009e+00,1.0000e+01
4.1419e-01,4.3993e+00,1.9523e+00,1.0000e+01
7.7010e-01,3.7062e+00,2.7691e+00,1.0000e+01
8.4796e-01,3.4154e+00,2.2909e+00,1.0000e+01
1.0473e+00,3.0924e+00,2.0705e+00,1.0000e+01
6.5587e-01,3.5498e+00,2.3474e+00,1.0000e+01
1.1253e+00,3.2782e+00,2.1537e+00,1.0000e+01
6.9745e-01,3.1205e+00,1.7586e+00,1.0000e+01
7.9493e-01,3.0322e+00,2.1775e+00,1.0000e+01
9.5872e-01,2.8570e+00,2.4520e+00,1.0000e+01
9.0341e-01,2.7166e+00,2.3930e+00,1.0000e+01
9.8309e-01,2.7957e+00,2.4576e+00,1.0000e+01
7.0174e-01,2.7748e+00,2.4691e+00,1.0000e+01
7.7999e-01,2.1761e+00,2.4849e+00,1.0000e+01
1.0883e+00,2.9720e+00,2.1242e+00,1.0000e+01
8.0621e-01,1.7396e+00,2.1931e+00,1.0000e+01
8.6999e-01,1.9857e+00,2.2125e+00,1.0000e+01
1.0702e+00,1.5903e+00,2.1630e+00,1.0000e+01
9.4950e-01,2.1665e+00,2.3627e+00,1.0000e+01
7.1090e-01,2.6738e+00,2.2394e+00,1.0000e+01
7.2315e-01,1.7321e+00,2.2516e+00,1.0000e+01
1.0963e+00,2.3579e+00,2.4421e+00,1.0000e+01
7.8585e-01,1.8398e+00,2.0663e+00,1.0000e+01
7.6333e-01,1.8371e+00,2.0330e+00,1.0000e+01
7.7425e-01,1.9836e+00,1.6033e+00,1.0000e+01
6.1539e-01,2.7769e+00,1.6768e+00,1.0000e+01
1.1094e+00,1.4167e+00,2.0813e+00,1.0000e+01
1.1938e+00,1.7894e+00,1.4221e+00,1.0000e+01
6.9752e-01,1.9730e+00,1.4532e+00,1.0000e+01
8.2427e-01,2.2964e+00,1.1268e+00,1.0000e+01
9.5792e-01,1.8506e+00,1.2029e+00,1.0000e+01
9.8482e-01,1.7510e+00,1.6405e+00,1.0000e+01
7.0352e-01,1.9461e+00,1.0216e+00,1.0000e+01
1.1128e+00,1.9873e+00,1.1495e+00,1.0000e+01
8.5267e-01,1.9327e+00,1.6939e+00,1.0000e+01
1.0501e+00,1.8897e+00,1.3623e+00,1.0000e+01
8.5909e-01,1.6613e+00,1.2522e+00,1.0000e+01
9.3967e-01,1.3968e+00,1.4236e+00,1.0000e+01
8.7357e-01,1.6316e+00,1.2534e+00,1.0000e+01
1.1468e+00,1.3791e+00,1.6434e+00,1.0000e+01
8.7232e-01,1.9148e+00,1.5833e+00,1.0000e+01
9.7210e-01,1.9605e+00,1.7345e+00,1.0000e+01
1.1283e+00,1.5018e+00,1.4313e+00,1.0000e+01
9.5828e-01,2.0904e+00,2.0642e+00,1.0000e+01
8.0325e-01,1.6409e+00,1.6797e+00,1.0000e+01
1.0147e+00,1.6208e+00,1.8783e+00,1.0000e+01
8.1435e-01,1.7859e+00,1.9776e+00,1.0000e+01
1.2200e+00,1.5421e+00,1.9463e+00,1.0000e+01
9.7616e-01,1.6445e+00,1.6600e+00,1.0000e+01
9.9891e-01,1.4682e+00,1.7807e+00,1.0000e+01
9.1998e-01,1.8383e+00,1.7752e+00,1.0000e+01
9.1749e-01,1.4195e+00,1.7303e+00,1.0000e+01
8.7789e-01,1.5578e+00,1.2884e+00,1.0000e+01
1.0092e+00,1.7053e+00,1.8298e+00,1.0000e+01
1.0558e+00,1.4877e+00,2.0579e+00,1.0000e+01
1.0764e+00,1.2039e+00,1.4050e+00,1.0000e+01
1.0763e+00,1.8119e+00,1.3824e+00,1.0000e+01
8.2107e-01,1.4277e+00,2.0000e+00,1.0000e+01
9.6373e-01,1.5759e+00,1.4180e+00,1.0000e+01
1.0911e+00,1.1641e+00,1.5198e+00,1.0000e+01
1.0633e+00,1.7460e+00,1.5173e+00,1.0000e+01
1.1097e+00,1.6287e+00,1.5307e+00,1.0000e+01
9.8332e-01,1.6904e+00,1.8322e+00,1.0000e+01
9.4124e-01,1.5161e+00,1.9645e+00,1.0000e+01
1.1466e+00,1.4857e+00,1.7139e+00,1.0000e+01
1.0719e+00,1.1983e+00,1.8982e+00,1.0000e+01
9.9370e-01,1.6125e+00,1.9136e+00,1.0000e+01
8.2881e-01,1.5849e+00,1.6727e+00,1.0000e+01
9.5946e-01,1.5307e+00,1.2134e+00,1.0000e+01
1.0696e+00,1.4169e+00,1.5465e+00,1.0000e+01
7.5876e-01,1.5656e+00,1.5359e+00,1.0000e+01
1.1419e+00,1.2899e+00,1.2210e+00,1.0000e+01
1.0716e+00,1.4886e+00,1.2886e+00,1.0000e+01
