# GLoss,DLoss
1.8077e+00,1.0414e+00
4.9275e-02,7.4135e+00
4.5711e-02,4.9333e+00
3.5614e-01,2.2354e+00
3.0654e-01,2.8848e+00
4.3795e-01,2.3152e+00
5.1533e-01,2.5278e+00
4.2421e-01,2.7216e+00
5.2043e-01,2.8598e+00
4.3653e-01,3.3329e+00
4.0775e-01,3.1397e+00
5.5697e-01,2.8699e+00
4.1528e-01,2.9801e+00
5.3346e-01,2.8984e+00
7.8292e-01,2.7736e+00
5.9716e-01,3.7046e+00
6.1265e-01,3.4875e+00
6.4430e-01,2.7550e+00
1.1078e+00,2.4789e+00
5.3433e-01,3.5011e+00
9.1938e-01,3.2616e+00
1.0120e+00,2.9157e+00
9.3199e-01,2.7389e+00
8.4164e-01,3.5313e+00
7.2712e-01,4.5480e+00
8.3337e-01,3.7362e+00
8.2523e-01,2.6717e+00
1.3277e+00,2.4729e+00
1.2496e+00,2.1421e+00
9.3040e-01,3.6257e+00
8.3067e-01,3.1199e+00
6.2692e-01,2.9998e+00
1.0074e+00,1.9485e+00
8.3636e-01,3.2361e+00
1.5155e+00,2.0601e+00
1.0201e+00,4.7249e+00
8.6220e-01,3.8204e+00
8.3154e-01,3.4216e+00
8.6634e-01,1.5286e+00
1.0845e+00,1.6070e+00
1.1265e+00,2.4578e+00
9.4845e-01,3.2420e+00
7.2930e-01,2.5635e+00
8.1335e-01,3.0524e+00
1.3354e+00,2.4195e+00
1.8443e+00,2.0708e+00
9.3882e-01,2.3798e+00
7.7204e-01,2.7857e+00
1.0516e+00,2.9037e+00
1.1190e+00,2.9480e+00
9.2118e-01,2.0404e+00
1.1106e+00,1.9641e+00
1.1267e+00,1.9683e+00
9.8256e-01,2.9465e+00
1.5503e+00,2.5252e+00
1.0653e+00,1.7474e+00
1.3135e+00,1.6512e+00
1.0386e+00,2.4501e+00
1.0272e+00,1.9378e+00
1.0642e+00,2.7732e+00
8.1640e-01,3.2288e+00
1.3780e+00,2.1656e+00
1.4111e+00,2.1294e+00
7.1601e-01,2.8681e+00
1.2266e+00,1.8050e+00
1.1343e+00,1.4686e+00
1.2133e+00,1.8011e+00
8.8071e-01,2.3949e+00
8.8867e-01,2.2878e+00
1.0996e+00,2.3012e+00
1.2195e+00,1.5766e+00
1.3303e+00,2.6997e+00
1.0718e+00,1.9301e+00
1.6030e+00,1.9229e+00
8.1003e-01,2.3631e+00
1.0624e+00,1.8442e+00
1.3081e+00,1.6796e+00
1.1323e+00,1.7733e+00
1.2516e+00,1.5801e+00
1.0868e+00,2.0459e+00
1.1612e+00,1.5133e+00
9.2479e-01,1.7116e+00
1.2351e+00,1.4909e+00
1.2483e+00,1.6330e+00
1.0507e+00,1.5139e+00
9.6246e-01,1.5093e+00
1.2383e+00,1.3375e+00
1.0418e+00,1.6110e+00
9.5538e-01,1.7458e+00
