# GLoss,DLoss
1.4925e+00,1.4634e+00
5.3414e-03,1.1542e+01
4.4516e-02,7.4378e+00
7.4685e-03,8.3147e+00
8.7947e-02,6.6324e+00
9.9144e-02,7.5012e+00
9.4030e-02,4.8116e+00
7.2579e-02,6.4084e+00
8.2773e-02,5.0428e+00
2.3093e-01,5.3447e+00
3.7204e-01,4.3413e+00
2.9180e-01,4.0606e+00
2.9159e-01,4.5805e+00
2.2720e-01,4.7258e+00
5.7486e-01,5.5376e+00
5.3181e-01,3.9949e+00
5.8982e-01,4.4586e+00
3.1875e-01,3.7746e+00
4.6649e-01,3.7732e+00
4.6353e-01,3.0639e+00
4.6132e-01,5.7851e+00
5.9957e-01,4.3046e+00
3.8366e-01,4.5251e+00
4.4468e-01,4.0749e+00
5.4557e-01,3.0501e+00
3.4796e-01,4.3931e+00
3.8795e-01,4.2330e+00
7.1718e-01,3.8437e+00
4.5908e-01,2.9001e+00
3.9554e-01,3.9747e+00
4.6607e-01,3.6960e+00
5.1707e-01,3.5389e+00
5.9886e-01,2.3843e+00
6.1646e-01,3.0178e+00
5.2056e-01,3.0589e+00
5.9864e-01,2.7888e+00
5.7697e-01,2.6528e+00
5.4090e-01,2.7634e+00
4.9396e-01,2.7264e+00
5.4966e-01,2.5327e+00
6.8773e-01,2.1758e+00
5.2909e-01,3.2069e+00
5.1210e-01,2.2489e+00
3.5047e-01,3.4180e+00
6.9322e-01,2.5496e+00
6.3604e-01,2.1983e+00
6.2741e-01,2.5125e+00
5.1904e-01,2.7988e+00
5.4886e-01,2.8215e+00
6.2935e-01,2.4060e+00
4.5280e-01,3.2772e+00
5.9662e-01,2.4325e+00
6.4248e-01,2.9786e+00
5.0217e-01,3.1605e+00
5.2632e-01,2.8551e+00
4.4250e-01,2.1323e+00
5.9986e-01,2.2875e+00
5.8321e-01,2.4793e+00
4.3537e-01,2.0375e+00
5.2913e-01,2.3950e+00
4.6230e-01,2.7098e+00
6.0333e-01,2.5560e+00
7.0351e-01,2.0155e+00
5.1127e-01,2.0257e+00
8.1988e-01,1.8597e+00
5.4151e-01,2.5528e+00
6.6665e-01,2.3558e+00
5.4593e-01,2.3104e+00
5.7776e-01,2.1875e+00
7.3832e-01,2.5870e+00
8.1051e-01,2.2291e+00
5.9424e-01,2.7328e+00
5.2099e-01,2.6282e+00
5.7622e-01,2.5170e+00
6.6602e-01,2.0587e+00
6.7667e-01,2.0625e+00
4.9412e-01,2.0988e+00
5.4025e-01,2.3378e+00
5.8553e-01,2.6301e+00
6.8761e-01,2.5756e+00
5.7439e-01,2.0048e+00
6.4641e-01,2.2492e+00
6.3670e-01,2.3547e+00
6.1256e-01,2.2187e+00
7.0021e-01,2.3876e+00
5.2890e-01,2.2825e+00
6.3719e-01,2.2176e+00
6.7765e-01,2.0831e+00
5.4379e-01,2.2732e+00
7.0250e-01,1.6850e+00
4.7503e-01,1.8891e+00
6.8452e-01,2.1771e+00
5.1016e-01,2.3487e+00
5.0694e-01,2.5837e+00
5.7978e-01,1.9758e+00
6.3191e-01,2.1274e+00
5.9984e-01,2.2315e+00
6.0621e-01,1.8805e+00
6.9601e-01,2.2129e+00
4.9067e-01,1.8238e+00
5.9524e-01,2.0130e+00
7.1093e-01,1.7363e+00
7.5339e-01,2.5193e+00
6.5599e-01,1.8682e+00
6.9902e-01,1.7332e+00
8.2369e-01,2.1466e+00
6.5401e-01,2.2780e+00
6.3760e-01,1.9724e+00
7.4789e-01,1.8139e+00
6.2979e-01,1.5908e+00
7.1118e-01,2.1212e+00
6.6645e-01,1.5682e+00
6.0595e-01,1.8255e+00
7.6742e-01,1.8735e+00
7.4552e-01,1.9419e+00
6.2796e-01,1.9271e+00
6.4641e-01,2.1647e+00
7.2590e-01,1.8667e+00
7.3063e-01,1.9991e+00
7.3865e-01,1.9720e+00
4.9357e-01,2.0512e+00
6.3237e-01,2.0269e+00
6.7053e-01,1.9746e+00
6.6871e-01,2.0428e+00
4.7371e-01,1.8883e+00
5.3316e-01,2.1217e+00
7.4392e-01,1.9427e+00
6.8799e-01,1.6919e+00
6.8607e-01,1.8712e+00
5.9295e-01,2.0991e+00
7.8181e-01,2.1879e+00
7.2231e-01,2.1322e+00
5.6671e-01,1.8071e+00
4.8982e-01,2.2013e+00
6.0822e-01,2.3687e+00
5.3888e-01,1.8301e+00
6.3448e-01,2.0910e+00
5.6928e-01,1.7987e+00
7.0696e-01,1.9080e+00
4.7608e-01,1.8456e+00
4.0290e-01,2.4197e+00
5.3567e-01,1.8797e+00
6.0941e-01,1.7128e+00
6.3398e-01,1.7037e+00
6.7621e-01,1.7438e+00
7.1960e-01,1.7271e+00
5.9358e-01,2.0704e+00
6.9386e-01,1.8111e+00
6.7603e-01,1.7035e+00
5.7537e-01,2.0409e+00
5.8340e-01,1.9465e+00
5.8358e-01,1.9259e+00
6.0272e-01,2.3281e+00
6.7784e-01,2.1515e+00
5.2533e-01,1.9848e+00
7.3327e-01,1.9562e+00
5.6521e-01,1.8116e+00
4.6267e-01,2.1318e+00
6.6480e-01,1.9590e+00
5.1501e-01,2.0918e+00
5.2688e-01,2.0488e+00
5.9829e-01,2.0138e+00
6.3897e-01,2.0160e+00
5.7199e-01,2.1256e+00
4.7649e-01,1.8320e+00
5.0923e-01,1.8948e+00
5.8879e-01,2.1392e+00
6.7506e-01,1.7559e+00
6.4381e-01,2.0345e+00
5.9552e-01,1.7941e+00
6.3427e-01,1.9705e+00
5.6096e-01,2.0647e+00
6.8560e-01,1.7694e+00
5.1121e-01,2.0874e+00
5.9276e-01,2.2967e+00
6.0794e-01,1.9290e+00
6.5941e-01,2.0562e+00
5.3171e-01,1.7882e+00
6.2055e-01,1.9946e+00
6.4394e-01,2.0232e+00
7.5652e-01,1.9212e+00
6.3578e-01,2.0422e+00
5.5783e-01,1.7541e+00
5.3196e-01,1.9639e+00
6.2466e-01,1.9098e+00
7.0240e-01,2.0961e+00
5.1633e-01,2.1912e+00
6.2753e-01,2.1947e+00
6.0310e-01,1.9587e+00
5.6692e-01,1.9075e+00
5.9494e-01,1.8185e+00
4.7968e-01,2.0291e+00
5.9470e-01,2.0985e+00
6.1674e-01,2.0206e+00
6.2824e-01,1.7516e+00
5.2110e-01,2.1437e+00
5.9389e-01,1.9943e+00
5.6230e-01,1.8426e+00
5.5231e-01,1.9996e+00
5.7171e-01,2.0145e+00
5.8703e-01,1.9019e+00
5.5951e-01,2.2413e+00
4.4202e-01,2.2143e+00
5.9791e-01,2.0083e+00
5.7341e-01,2.1658e+00
6.0956e-01,2.1898e+00
5.7947e-01,1.9759e+00
5.9500e-01,2.1222e+00
5.5576e-01,2.0152e+00
6.5877e-01,1.8663e+00
6.1708e-01,2.2221e+00
5.5188e-01,1.7766e+00
6.2085e-01,2.0016e+00
7.0298e-01,2.0446e+00
7.9402e-01,1.7592e+00
6.4367e-01,2.2689e+00
5.5368e-01,2.2162e+00
4.6038e-01,1.8430e+00
4.5613e-01,2.0245e+00
4.2962e-01,1.9390e+00
4.8482e-01,1.7739e+00
6.3878e-01,2.0036e+00
5.7681e-01,2.1152e+00
5.4029e-01,2.0198e+00
6.2814e-01,2.0337e+00
4.5293e-01,1.9992e+00
5.2030e-01,1.8432e+00
6.4973e-01,2.1235e+00
6.8325e-01,1.9476e+00
